"","playerid","Name","R","HR","RBI","RC","AVG","OPS","pr","bpr","count_pos","pos_SS","pos_CF","pos_RF","pos_1B","pos_C","pos_3B","pos_LF","pos_2B","pos_DH","adp"
"104","15711","Tyler O'Neill",1.08728873762196,1.73938228881447,1.30317064836881,0.9299855077089,0.135210369393928,1.44767403292397,6.82676650811896,6.87676650811896,1,0,0,0,0,0,0,1,0,0,135
"105","15730","Tyler Wade",-1.3149304567935,-1.6683623175036,-1.89582507238013,-1.81269789281084,-0.850483385270362,-1.35866013003759,-8.37945174669278,-7.37945174669278,3,1,1,0,0,0,1,0,0,0,NA
"106","15878","Miguel Andújar",-2.41159574120056,-1.54665715299224,-2.25700200859372,-2.30157671140855,-0.0267344749189719,-0.18449899108013,-8.54401015690726,-8.49401015690726,1,0,0,0,0,0,0,1,0,0,NA
"107","15905","Luis Torrens",-1.57604123879518,-0.816426165924081,-1.17347119995295,-1.34638063349573,-0.561252306854695,-0.55075926937592,-3.05982551271594,-2.79315884604928,2,0,0,0,0,1,0,0,0,1,NA
"108","15937","Aledmys Díaz",-1.3149304567935,-0.816426165924081,-0.915487674086103,-1.13687112432056,-0.0781161152948622,-0.519943250612456,-4.33895421184397,-4.13895421184397,1,0,0,0,0,0,1,0,0,0,NA
"109","15941","Austin Nola",-1.15826398759249,-0.93813133043544,-0.760697558565993,-0.805363354810316,0.175410962612357,-0.406218881284593,-0.928758848393864,-0.878758848393864,1,0,0,0,0,1,0,0,0,0,337
"110","15983","Clint Frazier",-1.00159751839148,-0.451310672390002,-0.915487674086103,-0.835404535479658,-0.855260613198802,-0.276769849449704,-4.15177593970884,-3.9184426063755,2,0,0,1,0,0,0,1,0,0,NA
"111","15986","Willy Adames",1.08728873762196,1.13085646625767,0.838800301808478,0.987484032921556,0.0868401731492285,0.707617275207405,5.27800877248941,5.34467543915607,1,1,0,0,0,0,0,0,0,0,209
"112","15998","Cody Bellinger",0.982844424821291,1.25256163076903,1.19997723802207,0.868972245241235,-0.635306894072712,0.834491868095666,5.02504802097982,5.09171468764649,1,0,1,0,0,0,0,0,0,0,84
"113","16219","J.D. Davis",-1.21048614399283,-0.694721001412721,-1.12187449477958,-0.902988789823094,0.0260873095333206,0.0935482391933037,-3.36761430609401,-3.16761430609401,1,0,0,0,0,0,1,0,0,0,NA
