"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos","Player","ESPN","ESPNID","ESPNNAME"
"56","Drew Rasmussen","TBR","25385",1.20187533689521,0.879607557593319,0.892006544637242,0.486884029511062,0.559819177271607,-0.825458431404487,3.19473421450396,56,"SP","Drew Rasmussen",161,"42584","Drew Rasmussen"
"57","Pete Fairbanks","TBR","17998",-0.948680451515358,-0.571485015258432,-0.966340423357016,2.06000296841581,1.36624821559868,1.99523612995413,2.93498142383782,57,"SP","Pete Fairbanks",218,"42180","Peter Fairbanks"
"58","Kyle Wright","ATL","19665",1.473304708248,1.26945332343409,1.44951063503552,-0.220121188091295,-0.289749703212164,-0.825458431404487,2.85693934400966,58,"SP","Kyle Wright",113,"39652","Kyle Wright"
"59","Jordan Romano","TOR","16122",-0.823405357044839,-0.636459309565227,-0.966340423357016,1.56194023869124,1.12885991290213,2.57882810816626,2.84342316979254,59,"SP","Jordan Romano",87,"36380","Jordan Romano"
"60","Jeffrey Springs","TBR","17677",0.909566783130669,1.00955614620691,0.706171847837816,0.251662081951041,0.627746553043209,-0.825458431404487,2.67924498076516,60,"SP","Jeffrey Springs",159,"35397","Jeffrey Springs"
"61","Alex Cobb","SFG","6562",1.07660024242469,1.03121424430917,0.892006544637242,0.588953635658254,-0.19953738135409,-0.825458431404487,2.56377885427079,61,"SP","Alex Cobb",179,"31086","Alex Cobb"
"62","Chris Sale","BOS","10603",0.596379046954373,1.05287234241144,0.706171847837816,0.336296721437343,0.679347524462689,-0.825458431404487,2.54560905169917,62,"SP","Chris Sale",131,"30948","Chris Sale"
"63","Freddy Peralta","MIL","18679",0.57549986454262,0.944581851900114,0.706171847837816,0.27620959130273,0.8573887514851,-0.825458431404487,2.53439347566389,63,"SP","Freddy Peralta",160,"39825","Freddy Peralta"
"64","Luis Garcia","HOU","23735",1.16011697207171,1.20447902912729,0.892006544637242,-0.300783888152866,0.393099179544465,-0.825458431404487,2.52345940582335,64,"SP",NA,NA,NA,NA
"65","Devin Williams","MIL","15816",-0.886042904280098,-0.419878328542577,-0.966340423357016,1.81528993304437,0.585440906729317,2.38429744876222,2.51276663235621,65,"SP","Devin Williams",60,"33224","Devin Williams"
"66","Nathan Eovaldi","TEX","9132",0.972204330365929,0.792975165184259,1.07784124143667,-0.130244512271189,0.481881451386295,-0.825458431404487,2.36919924469748,66,"SP","Nathan Eovaldi",178,"31174","Nate Eovaldi"
"67","Merrill Kelly","ARI","11156",1.64033816754203,1.1395047348205,1.44951063503552,-0.715943928721691,-0.318946557710484,-0.825458431404487,2.36900461956138,67,"SP","Merrill Kelly",152,"32968","Merrill Kelly"
"68","Andrew Heaney","TEX","15423",0.617258229366126,1.22613712722956,0.52033715103839,-0.259378728917138,1.04591701195997,-0.825458431404487,2.32481235927242,68,"SP","Andrew Heaney",217,"32672","Andrew Heaney"
"69","Jason Adam","TBR","11861",-0.906922086691851,-0.701433603872022,-0.966340423357016,1.58367044217189,1.46945015843764,1.80070547055009,2.27912995723873,69,"SP","Jason Adam",248,NA,"Jason Adam"
"70","Jesús Luzardo","MIA","19959",0.909566783130669,1.20447902912729,1.07784124143667,-0.0617747425367042,-0.0551023297134195,-0.825458431404487,2.24955155004002,70,"SP","Jesus Luzardo",174,"39667","Jesus Luzardo"
"71","Patrick Sandoval","LAA","19447",1.16011697207171,1.22613712722956,1.07784124143667,0.222588409068844,-0.656319190709441,-0.825458431404487,2.20490612769285,71,"SP","Patrick Sandoval",198,"40975","Patrick Sandoval"
"72","A.J. Minter","ATL","18655",-0.844284539456592,-0.549826917156167,-0.966340423357016,1.80785409295853,1.34300990283471,1.411644151742,2.20205626756547,72,"SP","A.J. Minter",241,"36133","A.J. Minter"
"73","Dustin May","LAD","19716",0.491983134895607,0.641368478468405,0.52033715103839,0.419892190725315,0.898026006113373,-0.825458431404487,2.1461485298366,73,"SP","Dustin May",200,"40937","Dustin May"
"74","Jon Gray","TEX","14916",1.18099615448346,1.26945332343409,1.07784124143667,-0.500904975680368,-0.0661852173393136,-0.825458431404487,2.13574209493005,74,"SP","Jon Gray",166,"33203","Jon Gray"
"75","Kodai Senga","NYM","31838",0.888687600718916,1.1395047348205,0.892006544637242,0.0737792366678241,-0.0752422007755257,-0.825458431404487,2.09327748466447,75,"SP","Kodai Senga",168,"4142421","Kodak Senga"
"76","Marcus Stroman","CHC","13431",1.32715043136573,0.74965896897973,1.26367593823609,-0.214694410388899,-0.244464786031095,-0.825458431404487,2.05586771075707,76,"SP","Marcus Stroman",238,"32815","Marcus Stroman"
"77","Giovanny Gallegos","STL","14986",-0.823405357044839,-0.636459309565227,-0.966340423357016,1.05674187360478,1.7929989746129,1.60617481114605,2.02971056939665,77,"SP","Giovanny Gallegos",265,"36050","Giovanny Gallegos"
"78","Evan Phillips","LAD","17734",-0.844284539456592,-0.614801211462962,-0.966340423357016,1.67908935904976,0.917689193836731,1.70344014084807,1.87479251945799,78,"SP","Evan Phillips",236,"37911","Evan Phillips"
"79","David Bednar","PIT","19569",-0.886042904280098,-0.614801211462962,-0.966340423357016,1.20966154145698,0.936756527386655,2.18976678935817,1.86900031910173,79,"SP","David Bednar",185,"38303","David Bednar"
"80","José Berríos","TOR","14168",1.38978797860099,1.11784663671823,1.26367593823609,-1.02420799488885,-0.0536722796971765,-0.825458431404487,1.8679718475648,80,"SP","Jose Berrios",136,"32811","Jose Berrios"
"81","Tyler Mahle","MIN","16358",1.03484187760119,1.0745304405137,1.07784124143667,-0.50526949051336,-0.0790556674855115,-0.825458431404487,1.7774299701482,81,"SP","Tyler Mahle",156,"34973","Tyler Mahle"
"82","Tyler Anderson","LAA","12880",1.41066716101274,0.684684674672935,1.26367593823609,-0.75293838778228,-0.0591541380927783,-0.825458431404487,1.72147681664223,82,"SP","Tyler Anderson",193,"32151","Tyler Anderson"
"83","Reid Detmers","LAA","27468",1.18099615448346,1.24779522533182,0.706171847837816,-0.418671973985765,-0.20156328554377,-0.825458431404487,1.68926953671908,83,"SP","Reid Detmers",246,"4326697","Reid Detmers"
"84","Paul Sewald","SEA","13892",-0.886042904280098,-0.636459309565227,-0.966340423357016,0.769907806194316,1.57324795545003,1.80070547055009,1.6550185949921,84,"SP","Paul Sewald",195,"35009","Paul Sewald"
"85","Sonny Gray","MIN","12768",0.805170871071904,0.792975165184259,0.892006544637242,-0.0253576002529657,0.00364889178728038,-0.825458431404487,1.64298544102323,85,"SP","Sonny Gray",243,"32082","Sonny Gray"
"86","Zach Eflin","TBR","13774",0.826050053483657,0.424787497445755,0.892006544637242,-0.287136119548116,0.511316647553989,-0.825458431404487,1.54156619216804,86,"SP",NA,NA,NA,NA
