playerid,me,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,ERA,WHIP,SVHD,Year
22267,Tarik Skubal,7.540134384,168,,,,,,,2.083205644,2.042945299,2.429641441,0.599054364,1.055065875,-0.669778238,2022
13449,Taylor Rogers,7.540086625,187,,,,,,,0.029481714,-0.571098736,0.397113864,2.355143696,2.033367784,3.296078303,2022
5038,Josh Doldson,7.486579787,131,1.272897327,1.726775178,1.229270331,1.370551066,0.239788948,1.647296937,,,,,,,2022
17282,Michael Kopech,7.452466885,132,,,,,,,1.499515685,1.092383832,2.194296142,1.221002669,1.321875486,0.12339307,2022
17027,Alex Verdugo,7.433922323,116,1.617236329,0.41983076,0.984902024,1.466762525,2.001348803,0.943841881,,,,,,,2022
16511,Jordan Montgomery,7.326246611,165,,,,,,,2.16967823,2.042945299,2.215691169,0.69051735,0.8771928,-0.669778238,2022
14916,Jon Gray,7.318022004,183,,,,,,,2.36424155,2.280585666,2.279876251,0.452713586,0.610383189,-0.669778238,2022
16376,Michael Conforto,7.310581886,155,1.272897327,1.224104248,1.368909364,1.475742814,0.646302761,1.322625373,,,,,,,2022
13543,Blake Snell,7.261404583,110,,,,,,,1.845406031,1.805304932,2.472431495,1.0197841,0.788256263,-0.669778238,2022
15672,Austin Meadows,7.258953907,119,1.341765128,1.626240992,1.787826462,1.310546771,0.194620746,0.997953809,,,,,,,2022
15149,Trey Mancini,7.245233406,174,1.341765128,1.324638434,1.368909364,1.475102723,0.872143768,0.86267399,,,,,,,2022
16358,Tyler Mahle,7.238621361,93,,,,,,,2.29938711,2.280585666,2.558011603,0.160032031,0.610383189,-0.669778238,2022
10233,Aroldis Chapman,7.231145045,83,,,,,,,0.072718007,-0.571098736,0.86780446,2.46489928,1.232938949,3.163883085,2022
15038,Germán Márquez,7.227185164,122,,,,,,,2.602041163,2.993506766,2.344061332,-0.297282899,0.25463704,-0.669778238,2022
19290,Randy Arozare,7.164148728,126,1.582802429,1.224104248,1.229270331,1.379850766,0.736639163,1.01148179,,,,,,,2022
15464,Hunter Renfroe,7.144864399,161,1.307331227,2.128911921,1.683097187,1.1626549,-0.121556664,0.984425827,,,,,,,2022
12572,Blake Treinen,7.121017507,112,,,,,,,0.159190594,-0.571098736,0.332928782,2.007584349,1.499748561,3.692663957,2022
15986,Willy Adames,7.090276523,209,1.445066828,1.525706806,1.26418009,1.341986578,0.555966358,0.957369863,,,,,,,2022
