"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr","rank"
"81","Luis Arraez","MIA","18568",589,0.316736,0.804751,0.976163755592223,-1.32212302693891,-0.252629687428941,1.30710408759969,2.29642101097807,1.31623713160117,4.3211732714033,71
"75","Riley Greene","DET","25976",573,0.273128,0.781707,0.923053649194387,-0.133005048013176,0.30178806113494,0.878441907411372,1.26832781742005,1.01811686175108,4.25672324889864,72
"67","Jazz Chisholm Jr.","MIA","20454",548,0.245475,0.764128,0.60439301080737,1.1882371507932,0.967089359411598,0.25676219841812,0.516390718536094,0.684609533702507,4.21748197166889,73
"76","Andrés Giménez","CLE","19950",585,0.265144,0.756514,0.816833436398714,-0.000880828132538659,0.578996935416881,0.601015740588928,1.22067407875027,0.956876760850863,4.17351612387311,74
"72","Jake Burger","MIA","22275",544,0.249406,0.767342,0.285732372420353,1.05611293091256,1.07797290912437,0.448110138008395,0.555953162266696,0.6696568295885,4.09353834232088,75
"74","Seiya Suzuki","CHC","30116",526,0.264136,0.804492,0.498172798011698,0.527616051390011,0.91164758455521,0.747703410990472,0.667422158047723,0.735141483602342,4.08770348659746,76
"73","Salvador Perez","KCR","7304",544,0.259944,0.75789,0.179512159624681,1.05611293091256,1.07797290912437,0.296733360111593,0.752049974398146,0.610880463135762,3.97326179730712,77
"77","Taylor Ward","LAA","17548",527,0.263149,0.794565,0.60439301080737,0.395491831509374,0.689880485129657,0.711678637230968,0.658664752571847,0.684536501733459,3.74464521898267,78
"78","Luis Rengifo","LAA","19858",564,0.260592,0.755927,0.763723330000878,0.395491831509374,0.30178806113494,0.480529334608391,0.942389084812496,0.771492131704538,3.65541377377062,79
"79","Carlos Correa","MIN","14162",529,0.262002,0.78767,0.551282904409534,0.263367611628736,0.689880485129657,0.736174376686013,0.655912296127774,0.661008010938087,3.5576256849198,80
"80","Dansby Swanson","CHC","18314",573,0.249948,0.737822,0.551282904409534,0.395491831509374,0.634438710273269,0.390295141988365,0.813987273903233,0.730674451037534,3.51617031312131,81
"89","Nico Hoerner","CHC","21479",603,0.280812,0.745126,1.02927386199006,-0.925750367297,0.0245791868529992,0.619145743745641,1.70710943085951,1.03403857401162,3.48839643016283,82
"85","Joey Meneses","WSN","14366",568,0.26739,0.751434,0.179512159624681,0.131243391748099,0.745322259986045,0.501502510404036,1.11012702674704,0.776883900571128,3.44459124908103,83
"94","Steven Kwan","CLE","24610",606,0.280297,0.75564,1.29482439397924,-1.32212302693891,-0.418955011998106,0.911074588840799,1.72525091181755,1.13242268407394,3.32249453977451,84
"86","Jorge Polanco","MIN","13152",546,0.250004,0.755091,0.498172798011698,0.263367611628736,0.689880485129657,0.475104558257015,0.584184782877177,0.610737874188836,3.12144811009312,85
"84","Brandon Drury","LAA","11615",540,0.248552,0.749506,0.232622266022517,0.791864491151286,0.856205809698821,0.201861927700869,0.506052715845138,0.524475264907615,3.11308247532625,86
"88","Ty France","SEA","17982",554,0.269159,0.763778,0.391952585216026,-0.133005048013176,0.412671610847716,0.690145789466059,1.01559857684869,0.7348010716383,3.11216458600361,87
"82","Oneil Cruz","PIT","21711",516,0.251021,0.786151,0.923053649194387,0.791864491151286,0.135462736565776,0.37541832976906,0.345579904330579,0.534999412839317,3.1063785238504,88
"87","José Abreu","HOU","15676",546,0.261142,0.753815,0.391952585216026,-0.000880828132538659,0.800764034842433,0.49102472757191,0.792208712427301,0.602774017449414,3.07784324937455,89
"83","Isaac Paredes","TBR","20036",484,0.247163,0.807437,0.33884247881819,0.923988711031923,0.745322259986045,0.588225618782191,0.006933727001774,0.365200279126858,2.96851307474698,90
"92","Ezequiel Tovar","COL","24064",593,0.258996,0.719873,0.60439301080737,-0.133005048013176,0.30178806113494,0.22793876469874,1.16852186195898,0.777686086279676,2.94732273686653,91
"98","Jeff McNeil","NYM","15362",570,0.288559,0.766399,0.551282904409534,-0.925750367297,0.135462736565776,0.74994664687527,1.5411716600904,0.891569102768896,2.94368268341287,92
"93","Ke'Bryan Hayes","PIT","18577",564,0.266553,0.754028,0.445062691613862,-0.265129267893813,0.523555160560493,0.416113520537656,1.05739274571847,0.759249234850294,2.93624408538696,93
"91","Alec Bohm","PHI","21618",545,0.27658,0.767771,0.232622266022517,-0.133005048013176,0.578996935416881,0.499538828991833,1.07108261197796,0.681100832831095,2.93033642722711,94
"101","Jung Hoo Lee","SFG","sa3012640",558,0.290955,0.785134,0.923053649194387,-0.925750367297,-0.418955011998106,0.821260048341599,1.46845673109737,0.905941643389854,2.7740066927281,95
"104","J.P. Crawford","SEA","15491",574,0.258394,0.745718,0.976163755592223,-0.661501927535726,-0.30807146228533,0.712357191811082,0.988372296384748,0.790916692219781,2.49823654618678,96
"96","TJ Friedl","CIN","19522",534,0.255081,0.764812,0.976163755592223,-0.000880828132538659,-0.0308625880033889,0.395177887638392,0.5743013895958,0.56649943050265,2.48039904719314,97
"100","Masataka Yoshida","BOS","31837",494,0.291215,0.821451,0.232622266022517,-0.265129267893813,0.412671610847716,0.727642052286679,0.835879881110658,0.536632635827845,2.4803191782016,98
"95","MJ Melendez","KCR","22197",524,0.241015,0.766545,0.763723330000878,0.395491831509374,0.135462736565776,0.435985296710326,0.234921474732348,0.489454898293913,2.45503956781261,99
"90","Cal Raleigh","SEA","21534",492,0.231007,0.763269,0.073291946829009,1.32036137067384,0.856205809698821,0.0698394874186529,-0.197330866648224,0.190637298307673,2.31300504627977,100
"97","Eugenio Suárez","ARI","12552",538,0.231576,0.730283,0.285732372420353,0.527616051390011,0.578996935416881,0.258319480019625,0.176633912290044,0.389122232656087,2.216420984193,101
"99","Ryan Mountcastle","BAL","18373",494,0.260695,0.783327,0.0201818404311729,0.659740271270648,0.578996935416881,0.247507712526042,0.32014688524269,0.321351720305329,2.14792536519276,102
