"","name","team","position","points"
"344","Lucas Giolito","BOS","P",5.45684005444975
"345","Cristian Javier","HOU","P",5.30231053658142
"346","Kyle Gibson","STL","P",5.18279015378817
"347","Hunter Greene","CIN","P",5.16890104715815
"348","Bailey Ober","MIN","P",5.14918897229796
"349","Hunter Brown","HOU","P",5.0694888488889
"350","Nathan Eovaldi","TEX","P",5.06591682731148
"351","Miles Mikolas","STL","P",4.98852900732951
"352","Lance Lynn","STL","P",4.98267119437441
"353","Carlos Rodón","NYY","P",4.94998056262386
"354","Brayan Bello","BOS","P",4.72259300886602
"355","Charlie Morton","ATL","P",4.63924071646028
"356","Yusei Kikuchi","TOR","P",4.60198015181823
"357","JP Sears","OAK","P",4.5264481422839
"358","Jon Gray","TEX","P",4.49591806607369
"359","Aaron Civale","TBR","P",4.35472001655137
"360","Eury Pérez","MIA","OF",4.25424664040248
"361","Shota Imanaga","CHC",NA,4.20919701789015
"362","Marcus Stroman","NYY","P",4.19366596037708
"363","Reid Detmers","LAA","P",4.19120510948121
"364","Dean Kremer","BAL","P",3.90585229964864
"365","Taijuan Walker","PHI","P",3.81013889731884
"366","Brady Singer","KCR","P",3.75789166530707
"367","Gavin Williams","CLE","P",3.5742697708917
"368","Griffin Canning","LAA","P",3.56457698194859
"369","Bryce Miller","SEA","P",3.50235544713199
"370","Nestor Cortes","NYY","P",3.47086444229674
"371","Walker Buehler","LAD","P",3.4249934868262
"372","Dane Dunning","TEX","P",3.33890946987631
"373","Ranger Suárez","PHI","P",3.32171890231268
"374","Michael King","SDP","P",3.28151793793532
"375","Chris Sale","ATL","P",3.22040976502166
"376","Ryan Pepiot","TBR","P",3.16707204998073
"377","Triston McKenzie","CLE","P",3.12984974355091
"378","Kenta Maeda","DET","P",3.01081785041563
"379","Sean Manaea","NYM","P",2.99823094178406
"380","Jameson Taillon","CHC","P",2.90276941408078
"381","Bryan Woo","SEA","P",2.86890873503637
"382","Patrick Sandoval","LAA","P",2.85380854640715
"383","José Quintana","NYM","P",2.82148917711003
"384","Michael Wacha","KCR","P",2.77461524975795
"385","Jhoan Duran","MIN","P",2.77314645117016
"386","Edwin Díaz","NYM","P",2.71706725239294
"387","Brandon Pfaadt","ARI","P",2.65939523612453
"388","Logan Allen","CLE",NA,2.65319642154033
