playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
4314,Joey Votto,5.711470011,263,1.453600408,0.8248874866,0.8081770485,1.405217988,0.3815761792,0.8380109009,,,,,,,2021
6153,Eduardo Escobar,5.586815066,238,1.088780158,1.031870325,1.332417224,1.142460114,0.4653615527,0.5259256929,,,,,,,2021
15672,Austin Meadows,5.465926905,105,0.993926893,1.093965176,0.9356949291,0.9535906024,0.4932900105,0.9954592942,,,,,,,2021
18577,Ke'Bryan Hayes,5.422972084,167,1.001223298,0.3902235269,0.7373337815,1.134846414,1.256667858,0.9026772053,,,,,,,2021
2396,Carlos Santana,5.379864773,182,1.220115448,0.9283789056,1.10571877,1.304435637,-0.02804120248,0.8492572148,,,,,,,2021
19198,Yuli Gurriel,5.370244373,214,1.045001728,0.7006977838,1.219067997,1.021690917,1.051859167,0.3319267798,,,,,,,2021
11265,Jonathan Schoop,5.362416574,#N/A,0.877184413,1.176758311,1.027791176,0.8558486882,0.8005030467,0.6243309387,,,,,,,2021
18568,Luis Arraez,5.295180026,#N/A,0.869888008,-0.7274837982,0.2626838925,1.059662352,3.062708132,0.7677214397,,,,,,,2021
5933,Jean Segura,5.286148212,155,1.183633423,0.2246372565,0.8294300286,1.039676594,1.629047296,0.3797236135,,,,,,,2021
11445,Mark Canha,5.260718897,237,1.176337018,0.9697754732,1.056128483,1.147104074,-0.05596966032,0.9673435097,,,,,,,2021
14274,Mitch Haniger,5.193145352,233,1.066890943,1.11466346,0.8861046422,0.9778763061,0.2140054321,0.9336045683,,,,,,,2021
13152,Jorge Polanco,5.183287071,200,1.081483753,0.3488269593,0.7585867616,1.025919097,1.349762718,0.6187077818,,,,,,,2021
2136,David Peralta,5.070801018,227,0.745849123,0.4523183783,0.9569479092,0.9805793963,1.293905802,0.6412004094,,,,,,,2021
15679,Rowdy Tellez,5.060453456,#N/A,0.592624618,1.093965176,0.9073576223,0.6542997689,0.6143133278,1.197892943,,,,,,,2021
9785,Kyle Seager,4.98922239,209,1.001223298,1.197456595,1.389091838,1.049206268,-0.111826576,0.464070967,,,,,,,2021
5297,Aaron Hicks,4.978157076,210,1.285783093,0.9490771894,0.9640322359,1.06445199,-0.2328498933,0.9476624605,,,,,,,2021
15983,Clint Frazier,4.883796318,191,0.942852058,1.073266892,1.027791176,0.8827142196,0.1022916008,0.8548803717,,,,,,,2021
19252,Cavan Biggio,4.880541906,77,1.570342888,0.9076806218,0.9782008893,1.210591445,-0.4190396122,0.632765674,,,,,,,2021
15117,Hunter Dozier,4.873988144,234,1.125262183,0.9697754732,1.056128483,1.138153236,0.0278157132,0.5568530559,,,,,,,2021
10264,Brandon Belt,4.747851701,#N/A,0.877184413,0.6799995,0.8152613752,1.054727952,0.2605528619,1.060125599,,,,,,,2021
11368,Yasmani Grandal,4.747310458,134,0.993926893,1.28024973,1.077381463,1.031013941,-0.5773008733,0.9420393036,,,,,,,2021
4579,Starlin Castro,4.728618128,339,0.672885073,0.5144132297,0.8790203155,0.7956078152,1.433548091,0.433143604,,,,,,,2021
13621,Jeimer Candelario,4.612752349,283,1.023112513,0.8041892028,0.9711165626,1.072091464,0.1488390305,0.5934035757,,,,,,,2021
