"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos"
"90","Carlos Carrasco","NYM","6632",0.753529037357587,0.616500194215663,0.737952850187794,-0.143878709263608,0.0756610512313756,-0.825896228817725,1.21386819491109,87,"SP"
"61","Tyler Anderson","LAA","12880",1.46709820152197,0.720956343693071,1.17232666651809,-1.05030698835313,-0.270981877567186,-0.825896228817725,1.21319611699508,88,"SP"
"54","Martín Pérez","TEX","6902",1.44671051111727,0.867194952961444,1.31711793862818,-0.52193458231803,-1.22456779373529,-0.825896228817725,1.05862479783586,89,"SP"
"67","Camilo Doval","SFG","21992",-0.999812337446323,-0.762320978886132,-0.999542415133376,1.1351379034071,-0.170075149710854,2.82223435246302,1.02562137469343,90,"SP"
"123","Frankie Montas","NYY","14309",0.284612158049564,0.282240515887955,0.593161578077697,0.191497713872846,0.489921890449129,-0.825896228817725,1.01553762751947,91,"SP"
"96","Clay Holmes","NYY","13649",-0.999812337446323,-0.908559588154504,-0.999542415133376,1.49238448443651,0.183849707902084,2.21421258891623,0.982532440520615,92,"SP"
"153","José Alvarado","PHI","17780",-0.979424647041627,-0.469843760349388,-0.999542415133376,2.0927937631582,0.308567187119705,0.998169061822647,0.950719189576156,93,"SP"
"139","Steven Matz","STL","13361",0.223449086835474,0.136001906619583,0.303579033857502,0.287261259721286,0.703293963327472,-0.724559268226594,0.929025982134724,94,"SP"
"98","Kenta Maeda","MIN","18498",0.753529037357587,0.595608964320181,0.593161578077697,-0.429129220139812,0.0817871183291818,-0.724559268226594,0.87039820971824,95,"SP"
"88","Reid Detmers","LAA","27468",0.753529037357587,0.888086182856925,0.737952850187794,-0.561859861232687,-0.139444814221817,-0.825896228817725,0.852367166130077,96,"SP"
"110","Ken Waldichuk","OAK","27681",0.447713681287137,0.532935274633736,0.593161578077697,0.0566657423107787,-0.0750633166090149,-0.724559268226594,0.83085369147374,97,"SP"
"86","Matthew Boyd","DET","15440",0.814692108571677,0.616500194215663,0.882744122297892,-0.665171875756866,-0.0435082917467236,-0.825896228817725,0.779360028763916,98,"SP"
