"","Name","playerid","R","HR","RBI","RC","wba","wops","pr"
"132","Jazz Chisholm Jr.","20454",0.930622268420955,0.522330643700874,0.271236544901408,0.227198645162458,0.494794372238054,0.56335728783607,0.95580642025837
"134","Eugenio Suárez","12552",0.199512078816248,1.37426679528039,0.787203596635108,0.160066178493973,-0.237458853056356,0.223310629044553,1.22435406985218
"135","Amed Rosario","15518",0.72173364281961,-0.573015836901362,0.116446429381298,0.449168407879314,1.3687495186919,0.817497755613397,0.680179908816043
"136","Luis Urías","16622",0.512845017218265,0.157215150166795,0.374429955248148,0.504947003349173,0.377342601125116,0.456467989838687,1.51736802825111
"138","Charlie Blackmon","7859",0.826177955620282,-0.0861951788559239,0.684010186288368,0.87686060088672,0.937502072303641,0.751561402834721,0.556570609590165
"139","Nathaniel Lowe","19566",0.669511486419274,0.278920314678155,0.735606891461738,0.911647947990196,0.767371124066193,0.798446192180467,0.562353452451064
"140","Nelson Cruz","2434",0.617289330018938,1.49597195979175,1.40636405871555,1.01260076416035,0.607370786814229,0.834037256942705,0.39104355426661
"141","Mike Moustakas","4892",-0.00937654678509686,0.887446137234952,0.684010186288368,0.233449367536571,0.0454384587132437,0.262173707471171,0.487261621764137
"146","Brandon Belt","10264",0.669511486419274,1.13085646625767,0.632413481114998,0.828831158859339,0.0617107526086753,0.495373287796459,0.219546128711458
"147","Robbie Grossman","5254",0.669511486419274,-0.0861951788559239,-0.0383436861388122,0.488221460067297,0.350623114650905,0.483404050714496,0.338618736347698
"150","Brandon Crawford","5343",0.356178548017257,0.0355099856554356,0.580816775941628,0.391477815293707,0.481497945319608,0.441585605107146,0.0666666666666667
"152","J.P. Crawford","15491",0.826177955620282,-0.816426165924081,-0.0899403913121822,0.41846846371412,1.13764495558558,0.740362672196306,-0.00411251878809014
"153","Anthony Santander","14551",0.251734235216584,1.00915130174631,0.735606891461738,0.339552034929304,0.504924983223536,0.571284004810103,0.1955736885666
"154","Mitch Garver","15161",-0.322709485187114,0.522330643700874,-0.0899403913121822,-0.201038663097078,-0.66750328939009,-0.36413192742255,-0.0566697613455245
"155","César Hernández","10556",0.72173364281961,-0.329605507878643,-0.0383436861388122,0.410532793676051,0.832713564922556,0.582577729393613,-0.0577614255685169
"156","Randal Grichuk","10243",0.0950677660155756,0.765740972723593,0.632413481114998,-0.0250533791930833,0.18979966525637,0.253191502218306,0.076981898923735
"159","Bobby Dalbec","19966",0.147289922415912,1.49597195979175,0.941993712155218,0.48134275122139,-0.10857848642542,0.385444183556037,-0.255686461630073
"161","Michael Brantley","4106",0.30395639161692,-0.694721001412721,-0.0899403913121822,0.503323238172004,0.889603277237906,0.456594648432147,-0.0931196811087983
"162","Jarred Kelenic","22558",0.30395639161692,0.522330643700874,0.477623365594888,0.0350938709335577,0.0946352383114938,0.272918578149688,-0.310953354237935
"163","Yuli Gurriel","19198",0.460622860817929,-0.207900343367283,0.632413481114998,0.631323894222011,1.02551175524002,0.667375657715028,-0.389803198602255
"164","Keibert Ruiz","19610",-0.636042423589131,-0.0861951788559239,-0.141537096485552,-0.212851760812741,-0.146821542895616,-0.252651255412245,-0.409775906688594
"165","Ramón Laureano","17128",0.356178548017257,0.400625479189514,0.116446429381298,0.251666434420262,0.196827776627549,0.28110916719343,-0.414657607716048
"166","Kolten Wong","12532",0.773955799219946,-0.573015836901362,-0.141537096485552,0.41764318400239,0.784466530104196,0.520113933052296,-0.455743449370978
"168","AJ Pollock","9256",-0.113820859585769,0.522330643700874,0.477623365594888,0.150994844697653,0.0104245344946703,0.0532925770901886,-0.594424071183701
"169","Jo Adell","20220",0.0428456096152393,0.278920314678155,0.426026660421518,-0.0936769870565073,0.17514193748675,0.179887841253378,-0.686123800777672
"170","Andrew McCutchen","9847",0.199512078816248,0.400625479189514,0.219639839728038,0.270042482360006,-0.183450033240002,0.0939499855908228,-0.694949344731578
"171","Tyler Naquin","13359",-0.0615987031854331,0.157215150166795,0.374429955248148,0.0697448583994614,0.269989782838331,0.173069386972118,-0.179085413403451
"173","Harrison Bader","18030",0.251734235216584,0.278920314678155,0.0648497242079278,0.162715110506688,0.21826035049371,0.281425813677079,-0.759605893765212
"176","David Peralta","2136",-0.113820859585769,-0.573015836901362,0.271236544901408,0.270514985686942,0.64517062905381,0.362212886538931,-0.832970827482245
"177","Gary Sánchez","11442",-0.427153797987787,0.644035808212233,0.0132530190345578,-0.54939623875821,-1.03948666151328,-0.591695200338871,-0.884119719988738
"178","Brandon Nimmo","12927",0.669511486419274,-0.451310672390002,-0.451117327525772,0.701158068343348,0.24241552606222,0.339097693232496,-0.967756668403794
"179","Tommy Pham","2967",0.356178548017257,-0.0861951788559239,-0.193133801658922,0.302868446390492,0.130092376760682,0.198992179100249,-0.986466607422371
"180","Jeff McNeil","15362",0.0428456096152393,-0.573015836901362,-0.0899403913121822,0.324493078949378,0.641434966252914,0.319064525700252,-0.863720558205299
"182","Jesús Aguilar","11342",-0.00937654678509686,0.522330643700874,0.941993712155218,0.389636722032741,0.283476158712754,0.321692691514545,-1.14939712301392
