playerid,Name,Player Rater,ADP,R,HR,RBI,RC,AVG,OPS,IP,K/9,W,ERA,WHIP,SVHD,Year
19716,Dustin May,-0.308598986207279,246.8,,,,,,,0.100460615061634,-0.683107230378444,0.332981271183114,0.182482160408356,0.454696364147219,-0.696112166629158,2020
6893,Johnny Cueto,-0.364315768600754,376.5,,,,,,,1.03890132610291,-0.975353456718657,0.332981271183114,-0.140829921047659,0.0760971785086965,-0.696112166629158,2020
9866,Chaz Roe,-0.374116524484355,592.6,,,,,,,-0.942251286095341,0.571832447435412,-1.11958920165917,0.30821463653014,-0.302502007129826,1.11017888643443,2020
3542,Danny Duffy,-0.378658884151451,548.8,,,,,,,1.24744370633431,-0.642995003233709,1.05926650760426,-0.949110124687697,-0.397151803539457,-0.696112166629158,2020
7882,Josh Lindblom,-0.423808293711405,349.8,,,,,,,0.986765731045064,-0.385130685874697,0.332981271183114,-0.643759825534794,-0.0185526179009341,-0.696112166629158,2020
13361,Steven Matz,-0.428330298714599,290.2,,,,,,,0.882494540929366,-0.396591322201764,0.332981271183114,-0.248600614866331,-0.302502007129826,-0.696112166629158,2020
3254,Jeff Samardzija,-0.431318168039372,382.5,,,,,,,1.4559860865657,-1.1701842742788,1.05926650760426,-0.967071906990809,-0.113202414310565,-0.696112166629158,2020
9803,Miles Mikolas,-0.433871733046081,271.2,,,,,,,0.673952160697971,-1.2561390467318,0.332981271183114,0.0567496842865726,0.454696364147219,-0.696112166629158,2020
16258,Aaron Bummer,-0.499403220794804,523.9,,,,,,,-0.942251286095341,-0.144457323006286,-1.11958920165917,1.06260949326084,-0.207852210720196,0.852137307425349,2020
11189,Vince Velasquez,-0.527600527494034,584.3,,,,,,,0.830358945871517,0.279586221095199,0.332981271183114,-0.877262995475249,-0.397151803539457,-0.696112166629158,2020
13050,Anthony DeSclafani,-0.53873684993575,249.5,,,,,,,0.621816565640122,-0.270524322604025,0.332981271183114,-0.69764517244413,0.170746974918327,-0.696112166629158,2020
16502,Ryan Yarbrough,-0.547502459565055,229.6,,,,,,,0.517545375524425,-0.849286457120918,0.332981271183114,-0.212677050260107,0.360046567737589,-0.696112166629158,2020
12760,Rafael Montero,-0.598363033609491,544,,,,,,,-1.04652247621104,0.422844175183539,-1.11958920165917,0.380061765742588,0.170746974918327,0.594095728416265,2020
15454,Nick Pivetta,-0.608885633514823,587.5,,,,,,,-0.473030930574702,0.371271311711737,-0.393303965238029,-0.500065567109898,-0.207852210720196,0.594095728416265,2020
20367,Brusdar Graterol,-0.678092441085364,587.9,,,,,,,-1.30720045150028,0.0618341308809229,-1.11958920165917,0.990762364048394,0.360046567737589,0.33605414940718,2020
9132,Nathan Eovaldi,-0.707304554007391,276.5,,,,,,,0.986765731045064,-0.236142413622824,0.332981271183114,-0.69764517244413,-0.397151803539457,-0.696112166629158,2020
4930,Jon Lester,-0.714959786457196,521.5,,,,,,,1.19530811127646,-0.746140730177313,1.05926650760426,-0.751530519353465,-0.77575098917798,-0.696112166629158,2020
16400,Reynaldo Lopez,-0.770701160152685,337.7,,,,,,,0.882494540929366,-0.413782276692365,1.05926650760426,-1.1107661654157,-0.491801599949088,-0.696112166629158,2020
4020,Yusmeiro Petit,-0.822450372976096,564.9,,,,,,,-0.785844500921795,-0.574231185271306,-1.11958920165917,-0.122868138744547,0.927945346195373,0.852137307425349,2020
20633,Yusei Kikuchi,-0.886217109007644,456.2,,,,,,,1.19530811127646,-0.958162502228056,1.05926650760426,-0.805415866262801,-0.681101192768349,-0.696112166629158,2020
8753,Tanner Roark,-0.895850792804806,562.8,,,,,,,1.03890132610291,-0.67737691221491,1.05926650760426,-1.12872794771882,-0.491801599949088,-0.696112166629158,2020
19756,Yoshihisa Hirano,-0.920891577404391,503.4,,,,,,,-1.15079366632674,-0.281984958931093,-0.393303965238029,0.00286433737723675,-0.207852210720196,1.11017888643443,2020
12774,Jairo Diaz,-0.940278017705084,589.3,,,,,,,-0.942251286095341,-0.0756935050438833,-0.393303965238029,0.110635031195908,-0.491801599949088,0.852137307425349,2020
11903,Michael Feliz,-0.94090150469954,599.8,,,,,,,-1.15079366632674,1.01879726419103,-1.11958920165917,0.182482160408356,-0.207852210720196,0.33605414940718,2020
9939,Brandon Kintzler,-0.984670335104943,255.2,,,,,,,-0.942251286095341,-1.20456618326,-1.11958920165917,0.415985330348812,-0.0185526179009341,1.88430362346169,2020
14993,Scott Barlow,-1.18604601239504,600.4,,,,,,,-0.942251286095341,0.703629765196685,-1.11958920165917,0.164520378105244,-0.586451396358718,0.594095728416265,2020
13360,Cam Bedrosian,-1.19323761027733,599.2,,,,,,,-1.04652247621104,0.0904857216985908,-1.11958920165917,0.0747114665896846,-0.302502007129826,1.11017888643443,2020
12880,Tyler Anderson,-1.20944737479799,588.9,,,,,,,-0.473030930574702,-0.207490822805156,-0.393303965238029,0.200443942711468,0.360046567737589,-0.696112166629158,2020
19361,Corbin Burnes,-1.24509118855323,351.4,,,,,,,-0.629437715748249,0.21655272129633,-0.393303965238029,-0.0510210095320991,-0.207852210720196,-0.180029008610989,2020
18525,Dylan Cease,-1.24919305881998,280.9,,,,,,,0.465409780466576,0.159249539660994,0.332981271183114,-0.356371308685002,-1.1543501748165,-0.696112166629158,2020
16074,Nick Burdi,-1.25047950208621,567,,,,,,,-1.41147164161598,1.66059289850679,-1.84587443808031,0.00286433737723675,0.265396771327958,0.0780125703980956,2020
16269,John Means,-1.28833177559633,408.3,,,,,,,1.29957930139216,-1.25040872856827,1.05926650760426,-1.3981546822655,-0.302502007129826,-0.696112166629158,2020
14843,Michael Lorenzen,-1.31896679911184,540,,,,,,,-0.942251286095341,-0.413782276692365,-1.11958920165917,0.254329289620804,-0.207852210720196,1.11017888643443,2020
sa3005068,MacKenzie Gore,-1.3240636661372,999,,,,,,,-0.733708905863946,0.268125584768132,-0.393303965238029,0.344138201136364,-0.113202414310565,-0.696112166629158,2020
4153,Jake Arrieta,-1.32603966651148,575.1,,,,,,,1.03890132610291,-1.02119600202693,1.05926650760426,-0.931148342384585,-0.77575098917798,-0.696112166629158,2020
6797,Julio Teheran,-1.34117425357528,496.6,,,,,,,1.19530811127646,-0.482546094654768,1.05926650760426,-1.45204002917483,-0.965050581997241,-0.696112166629158,2020
13911,Scott Oberg,-1.36012442828121,285.9,,,,,,,-0.942251286095341,-0.259063686276958,-1.11958920165917,0.505794241864372,-0.397151803539457,0.852137307425349,2020
16943,Sean Newcomb,-1.36072960771849,473.6,,,,,,,0.152596210119483,-0.184569550151022,0.332981271183114,-0.284524179472555,-0.681101192768349,-0.696112166629158,2020
13218,Michael Fulmer,-1.36527198035185,562.9,,,,,,,0.361138590350878,-0.952432184064523,0.332981271183114,-0.392294873291226,-0.0185526179009341,-0.696112166629158,2020
7754,Mike Fiers,-1.37636182057297,429.6,,,,,,,1.29957930139216,-1.2389480922412,1.05926650760426,-1.30834577074994,-0.491801599949088,-0.696112166629158,2020
16358,Tyler Mahle,-1.40153609121803,572.5,,,,,,,-0.785844500921795,-0.0183903234085474,-0.393303965238029,-0.194715267956995,0.170746974918327,-0.180029008610989,2020
10123,Kyle Gibson,-1.41727824320084,443.5,,,,,,,1.24744370633431,-0.591422139761906,1.05926650760426,-1.09280438311259,-1.34364976763576,-0.696112166629158,2020
15594,Nick Wittgren,-1.44436421287998,584,,,,,,,-0.942251286095341,-0.161648277496887,-1.11958920165917,-0.33840952638189,0.265396771327958,0.852137307425349,2020
16207,Spencer Turnbull,-1.45958486548746,475.2,,,,,,,0.517545375524425,-0.23041209545929,0.332981271183114,-0.60783626092857,-0.77575098917798,-0.696112166629158,2020
16137,Carlos Rodon,-1.46512719930816,585.5,,,,,,,0.361138590350878,0.0102612674091206,0.332981271183114,-0.69764517244413,-0.77575098917798,-0.696112166629158,2020
14814,Buck Farmer,-1.47316395772101,591.3,,,,,,,-0.942251286095341,-0.024120641572081,-0.393303965238029,-0.284524179472555,-0.681101192768349,0.852137307425349,2020
4776,Matt Shoemaker,-1.49788814570991,406.8,,,,,,,0.465409780466576,-0.425242913019432,0.332981271183114,-0.967071906990809,-0.207852210720196,-0.696112166629158,2020
6316,David Phelps,-1.51356369304535,999,,,,,,,-1.04652247621104,-0.0585025505532825,-1.11958920165917,0.0926732488927965,-0.491801599949088,1.11017888643443,2020
7146,Daniel Hudson,-1.53517889444405,258.7,,,,,,,-0.942251286095341,-0.127266368515686,-0.393303965238029,-0.733568737050353,-0.965050581997241,1.6262620444526,2020
5358,Jose Alvarez,-1.56470424780818,594.8,,,,,,,-0.99438688115319,-0.700298184869045,-1.11958920165917,0.415985330348812,-0.0185526179009341,0.852137307425349,2020
16933,Elieser Hernandez,-1.59095877244847,591.8,,,,,,,-0.0038105750540632,-0.0413115960626818,-0.393303965238029,-0.859301213172137,-0.113202414310565,-0.180029008610989,2020
11632,Heath Hembree,-1.63973694180224,999,,,,,,,-1.04652247621104,0.434304811510606,-1.11958920165917,-0.715606954747242,-0.302502007129826,1.11017888643443,2020
14542,Carlos Estevez,-1.66470045984369,599.9,,,,,,,-1.15079366632674,0.285316539258733,-1.11958920165917,0.00286433737723675,-0.0185526179009341,0.33605414940718,2020
12580,Adam Morgan,-1.69440547282189,600.2,,,,,,,-1.04652247621104,-0.190299868314555,-1.11958920165917,-0.0510210095320991,-0.397151803539457,1.11017888643443,2020
16159,Jace Fry,-1.69999788685014,999,,,,,,,-1.15079366632674,0.858348355612092,-1.11958920165917,0.272291071923916,-1.1543501748165,0.594095728416265,2020
11423,Jose Quintana,-1.72273207293796,552.8,,,,,,,-0.108081765169761,-0.723219457523179,0.332981271183114,-0.320447744078778,-0.207852210720196,-0.696112166629158,2020
11760,Drew Smyly,-1.74219007762375,537.7,,,,,,,0.361138590350878,-0.121536050352152,-0.393303965238029,-0.589874478625458,-0.302502007129826,-0.696112166629158,2020
7531,Collin McHugh,-1.76037558508272,582.3,,,,,,,-0.473030930574702,0.0561038127173893,-0.393303965238029,-0.140829921047659,-0.113202414310565,-0.696112166629158,2020
13774,Zach Eflin,-1.77482357357328,569.3,,,,,,,0.830358945871517,-1.05557791100813,1.05926650760426,-1.32630755305305,-0.586451396358718,-0.696112166629158,2020
19990,Bryse Wilson,-1.77579506800869,590.3,,,,,,,-0.629437715748249,-0.322097186075828,-0.393303965238029,-0.0689827918352111,0.0760971785086965,-0.438070587620073,2020
15047,Austin Voth,-1.86568792018073,384,,,,,,,0.517545375524425,-0.59715245792544,0.332981271183114,-0.931148342384585,-0.491801599949088,-0.696112166629158,2020
9817,Sergio Romo,-1.8678332079753,576.6,,,,,,,-0.890115691037493,-0.121536050352152,-1.11958920165917,-0.733568737050353,-0.113202414310565,1.11017888643443,2020
17585,Jordan Yamamoto,-1.91867483101679,575.9,,,,,,,0.465409780466576,-0.367939731384096,0.332981271183114,-0.877262995475249,-0.77575098917798,-0.696112166629158,2020
16814,Tim Hill,-1.92667521054215,999,,,,,,,-1.04652247621104,-0.631534366906642,-1.11958920165917,0.415985330348812,-0.397151803539457,0.852137307425349,2020
15734,Brad Keller,-1.99095448589275,572,,,,,,,0.934630135987215,-1.34209381918481,1.05926650760426,-0.69764517244413,-1.24899997122613,-0.696112166629158,2020
16977,Trevor Williams,-1.99784889076107,594.6,,,,,,,1.24744370633431,-1.21602681958707,0.332981271183114,-0.985033689293921,-0.681101192768349,-0.696112166629158,2020
3284,Anibal Sanchez,-2.01122539813941,434.4,,,,,,,0.986765731045064,-0.872207729775052,1.05926650760426,-1.52388715838728,-0.965050581997241,-0.696112166629158,2020
17295,Framber Valdez,-2.02262529638035,596.2,,,,,,,-0.681573310806097,0.256664948441065,-0.393303965238029,0.362099983439476,-0.87040078558761,-0.696112166629158,2020
5114,Jeurys Familia,-2.06408795511552,597.6,,,,,,,-1.04652247621104,0.0618341308809229,-1.11958920165917,0.505794241864372,-1.05970037840687,0.594095728416265,2020
2233,Adam Wainwright,-2.07041193147395,549.2,,,,,,,0.882494540929366,-0.958162502228056,0.332981271183114,-0.571912696322346,-1.05970037840687,-0.696112166629158,2020
19206,Dakota Hudson,-2.07055797922131,406.8,,,,,,,1.09103692116076,-1.45096986429195,1.05926650760426,-0.446180220200562,-1.62759915686466,-0.696112166629158,2020
14646,Rowan Wick,-2.10144075807732,582,,,,,,,-0.942251286095341,0.187901130478662,-1.11958920165917,0.0747114665896846,-1.1543501748165,0.852137307425349,2020
7982,Anthony Bass,-2.11147409125311,598,,,,,,,-0.942251286095341,-0.562770548944239,-1.11958920165917,-0.320447744078778,-0.0185526179009341,0.852137307425349,2020
16511,Jordan Montgomery,-2.13486064499268,299.4,,,,,,,0.152596210119483,-0.545579594453638,0.332981271183114,-0.69764517244413,-0.681101192768349,-0.696112166629158,2020
14078,Michael Wacha,-2.14299295201893,587,,,,,,,0.986765731045064,-0.860747093447985,0.332981271183114,-0.751530519353465,-1.1543501748165,-0.696112166629158,2020
19479,Aaron Civale,-2.18612599339996,239.4,,,,,,,0.309002995293029,-1.14153268346113,0.332981271183114,-0.877262995475249,-0.113202414310565,-0.696112166629158,2020
19316,Eric Lauer,-2.19502672578499,583.6,,,,,,,0.517545375524425,-0.494006730981835,0.332981271183114,-0.985033689293921,-0.87040078558761,-0.696112166629158,2020
9490,Jeremy Jeffress,-2.20714138178674,600.9,,,,,,,-1.15079366632674,-0.797713593649116,-1.11958920165917,0.380061765742588,-0.113202414310565,0.594095728416265,2020
14975,Chad Kuhl,-2.24993457399454,598,,,,,,,0.309002995293029,-0.505467367308903,0.332981271183114,-0.535989131716122,-1.1543501748165,-0.696112166629158,2020
15043,Lou Trivino,-2.25015555084443,600.7,,,,,,,-1.09865807126889,-0.15018764116982,-1.11958920165917,0.110635031195908,-0.586451396358718,0.594095728416265,2020
18684,Sandy Alcantara,-2.27291859940897,313.9,,,,,,,1.40385049150785,-1.1873752287694,0.332981271183114,-0.877262995475249,-1.24899997122613,-0.696112166629158,2020
