"","Name","Team","playerid","R","HR","RBI","RC","AVG","OPS"
"316","DJ Stewart","BAL","17766",34,13,34,37.991231316726,0.218,0.756
"317","Josh Naylor","CLE","18839",40,11,41,46.4491299435028,0.261,0.742
"318","Austin Hedges","CLE","12976",33,12,37,28.8763204747774,0.195,0.596
"319","Bobby Bradley","CLE","17278",50,21,58,50.6437212713936,0.213,0.724
"320","Sam Hilliard","COL","17954",44,17,44,43.3773469387755,0.228,0.743
"321","Matt Duffy","LAA","13836",25,3,20,25.1867169811321,0.265,0.694
"322","Dom Nuñez","COL","15055",28,10,30,28.4181224489796,0.205,0.701
"323","Jorge Mateo","BAL","17273",37,7,32,35.3787572254335,0.237,0.659
"324","Matt Vierling","PHI","21558",20,5,19,21.1822126436782,0.252,0.706
"325","MJ Melendez","KCR","sa3004139",23,7,25,23.5340888888889,0.237,0.753
"326","Kevin Pillar","LAD","12434",38,11,39,36.8372459016393,0.249,0.713
"327","Hoy Park","PIT","18027",18,3,15,18.4662929936306,0.238,0.704
"328","Victor Reyes","DET","15487",30,5,23,28.1625910931174,0.263,0.693
"329","Johan Camargo","PHI","14950",20,6,19,20.8970666666667,0.247,0.724
"330","Luis Rengifo","LAA","19858",19,4,16,17.7653503184713,0.24,0.684
"331","Michael Perez","PIT","12977",18,5,20,18.2656507936508,0.205,0.632
"332","David Bote","CHC","14593",17,6,19,20.0436363636364,0.237,0.734
"333","Mike Brosseau","MIL","19683",28,8,28,28.5624454148472,0.235,0.719
"334","Isaac Paredes","DET","20036",12,3,11,13.3154411764706,0.253,0.734
"335","Taylor Ward","LAA","17548",18,5,16,18.1476060606061,0.249,0.756
"336","Josh VanMeter","ARI","15170",35,9,34,35.8776237288136,0.232,0.72
"337","Donovan Solano","CIN","8623",28,6,27,33.0480883534137,0.274,0.733
"338","Cole Tucker","PIT","17326",32,5,26,30.8385049833887,0.228,0.654
"339","Dylan Moore","SEA","18042",24,7,21,20.7017171717172,0.209,0.668
"340","Jarren Duran","BOS","24617",38,7,29,34.6930380622837,0.251,0.712
"341","Travis Swaggerty","","sa3007512",18,4,15,17.9895316455696,0.236,0.688
"342","Jon Berti","MIA","12037",19,2,12,15.4663197278912,0.239,0.668
