Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"David Fry","CLE",54.7054,197.329,174.739,42.2334,26.0954,9.1885,0.765926,6.1836,21.8715,23.626,17.378,0.861733,45.4692,3.71177,1.3255,0.174809,3.76818,1.94662,0.389197,0.241695,0.0880662,0.230424,0.382193,0.321186,0.409209,0.31831,0.730395,0.167514,4.20023,0.289763,-0.154709,-0.133907,24.3746,1.29142,108.94,-0.288616,-0.138243,1.729896992444992,-6.047778144478798,0.233426,471.67999267578125,3.21462,0.445643,1.27572,3.21462,-0.445643,3.29904,215.2,3.912727272,215.2,3.912727272,,,,,,,,,,,,,,,,,,,"David Fry","24934",681807
"Jack Suwinski","PIT",40.5264,154.488,134.895,28.8681,16.4662,6.16226,0.255441,5.9842,17.1989,18.1206,16.225,0.621986,46.0084,1.63926,1.54021,0.189238,1.64271,3.72997,0.602921,0.214005,0.105024,0.297811,0.352654,0.302869,0.39656,0.304881,0.69943,0.182555,4.63673,0.271001,-0.167382,0.235765,17.413,-0.658791,92.2855,0.0683828,-0.17855,-1.3567833229899406,-1.5544475615024567,0.230659,677.3699951171875,5.60263,0.405447,1.37468,5.60263,-0.405447,3.1671,160,3.902439024,160,3.902439024,,,,,,,,,,,,,,,,,,,"Jack Suwinski","22244",669261
"Orelvis Martinez","TOR",46.769,177.8,161.907,34.9799,20.1239,7.82337,0.21818,6.81441,18.8814,22.0226,12.1852,0.750029,47.9796,2.27708,1.33403,0.0965668,1.77225,0.789373,0.140994,0.216049,0.068533,0.269852,0.253965,0.278229,0.39333,0.290424,0.671559,0.177281,2.89305,0.259717,-0.041815,-0.166278,17.9717,-2.82699,89.429,-0.208093,-0.724293,-2.3586482852697372,-1.3498041033744812,0.229131,607.3200073242188,3.15866,-0.622912,1.2049,3.15866,0.622912,3.39346,166.9,3.551063829,166.9,3.551063829,,,,,,,,,,,,,,,,,,,"Orelvis Martinez","25967",682619
"Nick Loftin","KCR",34.014,124.346,111.191,26.4195,19.4392,5.09114,0.25883,1.63032,12.9793,11.6903,10.3801,0.0498376,19.9905,1.24136,1.06565,0.467575,2.18761,1.71683,0.623911,0.237603,0.0834778,0.160765,0.519255,0.307083,0.332033,0.285009,0.639115,0.0944294,3.97647,0.273501,0.0384924,-0.154073,12.0267,-2.5191,82.741,-0.11558,0.33221,-2.6265313029289246,0.6821477115154266,0.227068,750.4400024414062,1.89606,0.356929,1.62122,1.89606,-0.356929,2.83837,101.9,2.997058823,101.9,2.997058823,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
"Romy Gonzalez","BOS",44.0775,149.333,138.036,33.6198,22.0431,6.21856,1.07871,4.27939,17.886,17.651,8.24703,0.0779856,42.8664,1.32761,1.46244,0.259785,2.46644,6.11073,1.55603,0.243559,0.0552259,0.287053,0.192389,0.289754,0.397244,0.297382,0.686998,0.153686,6.57835,0.317701,-0.08051,0.34302,15.9305,-1.53816,87.1794,0.26251,0.402014,-1.9281233549118042,-0.8612297177314758,0.226047,626.780029296875,3.80831,0.945369,1.54694,3.80831,-0.945369,2.93742,145.9,3.31590909,145.9,3.31590909,,,,,,,,,,,,,,,,,,,"Romy Gonzalez","21562",663853
"Nick Allen","ATL",37.6355,134.527,121.548,29.2686,22.0331,5.68305,0.312702,1.23979,14.1046,10.7585,9.10856,0.0811972,21.9068,0.936447,0.761607,2.17233,2.20219,2.47157,0.998497,0.240798,0.0677079,0.162843,0.415787,0.297032,0.323299,0.275864,0.620331,0.0825009,4.35178,0.282653,0.104142,-0.162617,12.0213,-3.71543,74.1494,-0.0584753,0.451486,-4.217035133391619,1.9034741818904877,0.223734,999,2.13516,-0.0552957,1.63982,2.13516,0.0552957,2.81357,98.2,2.584210526,98.2,2.584210526,,,,,,,,,,,,,,,,,,,"Nick Allen","22277",669397
"Yan Gomes",,26.8229,94.7733,88.2021,20.4018,13.98,3.8327,0.144804,2.44436,9.13805,10.4477,3.98963,0.0657452,23.8979,1.23867,1.03927,0.303683,1.72014,0.28005,0.13662,0.231308,0.0420965,0.252158,0.166945,0.271305,0.361184,0.2751,0.63249,0.129876,2.80119,0.285496,-0.0622787,-0.150403,8.41063,-2.67577,75.9251,-0.212681,-0.20102,-2.8822458535432816,1.8686510473489761,0.221437,999,2.21447,0.516605,1.6769,2.21447,-0.516605,2.76414,69.4,2.57037037,69.4,2.57037037,,,,,,,,,,,,,,,,,,,"Yan Gomes","9627",543228
"Leo Rivas","SEA",22.9445,75.7603,64.2776,13.6854,10.3406,2.41223,0.120018,0.812607,8.12072,5.1657,8.86901,0.05458,19.3036,0.81769,0.73609,1.0599,0.994696,3.28897,0.763189,0.212911,0.117067,0.254798,0.459448,0.312878,0.2921,0.276813,0.604979,0.0791891,5.33144,0.286716,-0.0979669,0.191064,6.82776,-2.03454,84.8861,0.0930969,0.0272724,-1.2170634791254997,0.8062512669712305,0.218401,999,1.60152,-0.253812,1.81217,1.60152,0.253812,2.58377,62.5,2.717391304,62.5,2.717391304,,,,,,,,,,,,,,,,,,,"Leo Rivas","21009",660844
"Riley Adams","WSN",32.9664,120.523,107.883,23.5753,14.9783,5.11313,0.196409,3.28743,11.455,12.5093,9.25745,0.232966,34.6849,2.25825,0.96389,0.161015,2.28966,0.660044,0.121291,0.218527,0.0768104,0.287786,0.266901,0.291544,0.36098,0.287326,0.652524,0.142453,3.13018,0.286251,-0.107965,-0.124378,11.8818,-2.21682,83.4206,-0.232343,-1.8424,-2.621809259057045,0.7012982368469238,0.216164,750.760009765625,0.898411,-0.127587,1.54558,0.898411,0.127587,2.93923,104,3.151515151,104,3.151515151,,,,,,,,,,,,,,,,,,,"Riley Adams","19864",656180
"Liam Hicks","MIA",27.6236,103.004,90.2122,21.1436,15.783,4.22399,0.131107,1.00543,9.60908,8.75766,9.93131,0.0943261,17.7266,1.86286,0.906848,0.0909977,1.75715,0.839618,0.128064,0.234376,0.0964165,0.172096,0.56025,0.320053,0.317541,0.28793,0.637594,0.0831649,3.22826,0.278201,-0.0925214,-0.10085,10.2047,-1.84457,80.8409,-0.193371,-0.661694,-2.5532556623220444,1.2033284306526184,0.21484,999,1.91161,0.156572,1.71123,1.91161,-0.156572,2.71837,86.5,3.089285714,86.5,3.089285714,,,,,,,,,,,,,,,,,,,"Liam Hicks","sa3017400",689414
