Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Kingston Liniak",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.173085,0.057,0.2822,0.201984,0.227533,0.260988,0.21847,0.488521,0.0879025,4.03489,0.226208,0,-0.00110376,0.0388728,-0.0829714,32.086,-0.00110376,0,-0.08385896228719503,0.004000000189989805,-0.00457121,999,,,,"sa3007020"
"Matt Chamberlain",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.179602,0.081,0.3362,0.240928,0.254201,0.271639,0.237886,0.525841,0.0920376,4.14266,0.261401,0,-0.0012987,0.0549977,-0.0668465,45.3191,-0.0012987,0,-0.06792898278217763,-0.012000000104308128,-0.00457819,999,,,,"sa3014833"
"Yoeilin Cespedes","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.190899,0.0312,0.2167,0.143978,0.223005,0.266032,0.215612,0.489037,0.0751323,3.58362,0.231174,0,-0.00121084,0.036499,-0.0853452,24.3078,-0.00121084,0,-0.09190593543462455,0.012000000104308128,-0.00458003,999,,,,"sa3021085"
"Marvin Alcantara","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.183479,0.0503,0.2794,0.180029,0.232465,0.246621,0.215448,0.479086,0.063142,4.03863,0.25,0,-0.00109573,0.0363634,-0.0854808,24.1946,-0.00109573,0,-0.09192645887378603,0.012000000104308128,-0.00458208,999,,,,"sa3018558"
"Jacob Wetzel","CHC",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.185423,0.0724,0.2915,0.248371,0.25239,0.27891,0.238625,0.5313,0.0934869,4.19199,0.249917,0,-0.00121019,0.0556118,-0.0662323,46.0681,-0.00121019,0,-0.06802369118668139,-0.012000000104308128,-0.0045835,999,,,,"sa3015057"
"Leandro Pineda","PHI",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.188483,0.0722,0.282,0.256028,0.255007,0.285936,0.240948,0.540942,0.0974529,3.77184,0.251021,0,-0.00132099,0.0575408,-0.0643033,46.1334,-0.00132099,0,-0.06805360619910061,-0.012000000104308128,-0.00458648,999,,,,"sa3008905"
"Allan Berríos",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.159489,0.047,0.3235,0.145286,0.210728,0.226574,0.197707,0.437302,0.067085,3.90964,0.227105,0,-0.0010688,0.0216293,-0.100215,17.9349,-0.0010688,0,-0.1010675085708499,0.020999999716877937,-0.004592,999,,,,"sa3011153"
"Cody Orr",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.17258,0.061,0.3297,0.185017,0.232062,0.250986,0.21793,0.483048,0.0784056,4.5586,0.248873,0,-0.000891689,0.0384246,-0.0834196,31.7181,-0.000891689,0,-0.08409510884666815,0.004000000189989805,-0.00459476,999,,,,"sa3014892"
"Jake Gelof","LAD",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.168821,0.048,0.3343,0.143584,0.216061,0.274833,0.216718,0.490894,0.106012,3.96129,0.22969,0,-0.00103111,0.0374181,-0.0844261,32.7965,-0.00103111,0,-0.08428617147728801,0.004000000189989805,-0.00460967,999,,,,"sa3022600"
"Gregory Barrios","MIL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.190263,0.0375,0.1873,0.200214,0.227533,0.244167,0.210712,0.471701,0.0539043,4.5369,0.229656,0,-0.000814971,0.0324298,-0.0894144,26.164,-0.000814971,0,-0.09228667244315147,0.012000000104308128,-0.00460972,999,,,,"sa3015800"
