Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Zac Gallen","ARI",12,10,18,3.81977,32,32,0,0,196,824,185,90,83,24,54,,8,203,9.29304,2.48019,3.7469,1.097,0.246059,0.06567,0.18038900196552277,0.243353,1.21957,0.301728,0.725006,0.427325,,3.72638,3.6181,3.87512,37.290000915527344,,,,"19291"
"Gerrit Cole","NYY",14,9,19,3.7273,32,32,0,0,200,830,177,89,83,29,53,,7,225,10.131,2.39521,4.22968,1.314,0.271397,0.064165,0.2072320431470871,0.230012,1.15142,0.286856,0.744682,0.399444,,3.79812,3.5809,3.61167,14.5,,,,"13125"
"Max Fried","ATL",14,8,18,3.57145,31,31,0,0,185,773,181,80,73,20,46,,7,177,8.60892,2.26518,3.80054,0.981,0.228519,0.060128,0.1683909334242344,0.251171,1.23037,0.307207,0.737507,0.497557,,3.62705,3.53758,4.11385,64.79000091552734,,,,"13743"
"George Kirby","SEA",12,10,18,3.60929,32,32,0,0,191,786,181,83,77,25,33,,8,184,8.639,1.5433,5.59774,1.18,0.233829,0.041772,0.19205689430236816,0.243202,1.11821,0.291108,0.730716,0.42968,,3.67665,3.50833,3.50368,37.36000061035156,,,,"25436"
"Zach Eflin","TBR",12,10,18,3.63155,31,31,0,0,184,759,176,81,74,23,35,,6,178,8.69727,1.71872,5.06032,1.137,0.234343,0.04631,0.1880330592393875,0.245574,1.1481,0.296203,0.730095,0.451045,,3.64324,3.39168,3.30368,86.5,,,,"13774"
"Luis Castillo","SEA",12,10,19,3.621,32,32,0,0,195,815,174,85,78,24,59,,7,205,9.48441,2.72877,3.47571,1.119,0.25218,0.072555,0.17962494492530823,0.233229,1.19816,0.289807,0.742844,0.435086,,3.78847,3.388,3.53819,29.790000915527344,,,,"15689"
"Yoshinobu Yamamoto","LAD",12,9,17,3.97193,29,29,0,0,184,768,170,87,81,27,50,,7,200,9.77787,2.4551,3.98268,1.345,0.259874,0.065251,0.19462298601865768,0.239437,1.1997,0.295016,0.733119,0.39877,,3.95312,3.36977,3.05233,54.43000030517578,,,,"sa3023345"
"Justin Steele","CHC",12,10,17,3.69274,31,31,0,0,181,756,171,81,74,20,55,,8,174,8.6586,2.73645,3.16417,1.002,0.230415,0.0728201,0.15759513527154922,0.24657,1.24838,0.302197,0.732611,0.484242,,3.81471,3.33405,3.67699,102.70999908447266,,,,"17312"
"Jesús Luzardo","MIA",11,10,17,3.74367,31,31,0,0,181,761,160,81,75,23,63,,7,206,10.2427,3.12373,3.279,1.152,0.27018,0.082397,0.18778298795223236,0.231055,1.23066,0.295376,0.743303,0.403827,,3.80745,3.31463,3.73415,76.93000030517578,,,,"19959"
"Kodai Senga","NYM",12,10,18,3.74592,31,31,0,0,187,793,160,84,78,22,79,,7,215,10.3661,3.80084,2.72732,1.079,0.271016,0.0993709,0.17164502292871475,0.225775,1.27858,0.292111,0.744529,0.431275,,3.88207,3.29386,3.23041,67.29000091552734,,,,"31838"
