Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jordan Hicks","SFG",5.72332,6.29707,4.37859,3.81394,36.1452,15.2128,0.28141,1.77065,97.7803,420.731,84.9899,45.0396,41.4364,8.81342,45.9128,1.21931,5.99613,106.939,9.84299,4.22596,2.32917,0.811214,0.254174,0.109126,0.14504797011613846,0.230436,1.33874,0.30101,0.724193,,,3.83208,1.50465,1.63471,318.44000244140625,3.75487,-0.876129,0.5673,"19618"
"Martín Pérez","PIT",7.95811,9.04572,10.3573,4.51936,26.1219,26.1219,0,0.162795,150.848,660.059,160.851,82.3354,75.7485,18.5683,55.7127,1.14097,6.03632,107.346,6.40454,3.32397,1.92678,1.10784,0.162631,0.0844056,0.0782250240445137,0.268842,1.43564,0.301193,0.704359,,,4.66005,1.46445,1.75993,584.3499755859375,4.54322,1.1613,1.75623,"6902"
"Edwin Díaz","NYM",3.29936,2.49723,0,2.72694,60.1642,0,32.7948,0.680725,61.6505,247.322,43.6996,20.3041,18.6797,5.72948,21.2949,0.961158,3.54113,96.4038,14.0734,3.10871,4.5271,0.836413,0.389791,0.0861017,0.3036888688802719,0.196415,1.05424,0.31549,0.784411,,,2.54432,1.43739,1.40858,42.41999816894531,3.53108,-0.490795,2.05104,"14710"
"Shane Baz","TBR",5.45462,4.35862,5.1732,3.83324,19.9411,16.2129,0,0.618768,83.7789,346.452,73.0058,38.7856,35.6828,11.2225,26.6613,0.654319,3.82619,90.2698,9.69729,2.86411,3.38579,1.20558,0.260555,0.0769553,0.183599591255188,0.231057,1.18964,0.288071,0.725163,,,3.9332,1.43416,1.50417,208.10000610351562,4.30429,-0.493512,0.489002,"22264"
"Jakob Junis","MIL",5.39663,5.90287,3.80904,4.41531,29.2483,15.9048,0.281968,0.898077,108.419,458.705,109.704,57.8143,53.1891,16.6339,29.617,1.45293,4.96916,104.387,8.66532,2.45855,3.52457,1.38081,0.227569,0.0645665,0.16300256550312042,0.258664,1.28503,0.307064,0.702442,,,4.28093,1.42542,1.10381,510,2.36602,-0.972524,0.419935,"13619"
"Louie Varland","MIN",7.20759,6.53746,6.93608,4.142,35.2482,18.2485,0,0.3289,122.392,512.824,118.544,61.2257,56.3276,17.2018,34.9738,1.5308,4.36905,118.604,8.72145,2.57177,3.39123,1.26492,0.231277,0.0681985,0.16307804733514786,0.250366,1.25431,0.300117,0.713036,,,4.10839,1.41516,1.453,315.7699890136719,1.69224,1.35027,0.390082,"27691"
"Andrew Heaney","TEX",7.47305,6.99945,7.5665,4.395,27.208,23.7325,0,0.383386,124.508,530.584,117.807,66.0883,60.8013,20.7954,43.9213,0.44749,7.78306,130.339,9.42153,3.17484,2.96756,1.50319,0.245652,0.0827792,0.1628730595111847,0.246006,1.29895,0.295999,0.721187,,,4.57845,1.36512,1.5398,368.6499938964844,2.06045,-0.20139,0.80953,"15423"
"Dean Kremer","BAL",9.22038,8.09437,10.1087,4.32681,27.4909,27.4909,0,0,156.974,666.538,155.122,82.0285,75.4662,23.2839,50.3056,0.535055,5.88674,134.779,7.7275,2.88424,2.67921,1.33497,0.202208,0.0754729,0.1267351359128952,0.254155,1.30868,0.291495,0.713991,,,4.54002,1.3601,1.68068,324.2699890136719,4.23999,-0.38717,1.15594,"19350"
"JP Sears","OAK",7.81466,10.8818,9.31064,4.34905,28.4065,28.4065,0,0,161.185,679.445,152.589,84.662,77.889,25.9226,49.8828,2.27803,9.53685,146.746,8.19378,2.78528,2.94181,1.44743,0.215979,0.073417,0.14256217330694199,0.246101,1.25614,0.283144,0.708928,,,4.63086,1.3358,1.42654,377.6300048828125,2.40466,-0.427088,0.99959,"23429"
"Jack Flaherty","DET",7.48306,8.50178,8.48656,4.49124,25.0513,25.0513,0,0.268845,136.525,595.791,133.088,74.0541,68.1298,17.9001,57.3528,1.27635,9.42653,133.628,8.80899,3.7808,2.32993,1.18,0.224286,0.0962632,0.12802326679229736,0.251578,1.39491,0.305147,0.70375,,,4.46934,1.33019,1.40931,379.1700134277344,3.11177,-0.148292,1.40841,"17479"
"Zack Littell","TBR",7.1123,6.41025,7.41525,4.39522,30.0604,21.3084,0.00392831,0.196874,128.06,538.469,129.906,67.9775,62.5393,19.7565,32.0477,1.73187,5.14107,105.369,7.40527,2.2523,3.28788,1.38847,0.195683,0.0595163,0.13616617769002914,0.259148,1.26467,0.29283,0.699776,,,4.4862,1.32371,1.38477,366.2300109863281,5.26655,0.789379,0.631819,"15823"
"Max Scherzer","TEX",4.87864,3.44295,5.78378,3.8895,12.8696,12.4341,0,0,71.0475,290.418,61.9155,33.3743,30.7044,11.5632,19.233,0.215786,3.23183,80.1587,10.1542,2.43636,4.16776,1.46478,0.276011,0.0662253,0.20978586375713348,0.231068,1.14217,0.285717,0.735441,,,4.06294,1.30226,1.33207,307.05999755859375,3.1536,-1.39735,0.68131,"3137"
"Tyler Anderson","LAA",7.86066,8.26286,9.34531,4.73938,26.2866,26.2866,0,0,151.356,649.448,152.534,86.6345,79.7038,24.08,51.6888,1.04412,6.29234,121.189,7.2062,3.07354,2.34459,1.43185,0.186603,0.0795889,0.10701461136341095,0.257891,1.34929,0.287886,0.689623,,,4.87113,1.29849,1.15857,594.5599975585938,4.39549,0.251218,1.56441,"12880"
"Luis Severino","NYM",6.43003,7.29943,7.48422,4.59194,22.5181,22.5181,0,0,119.554,510.215,116.429,66.3026,60.9984,18.6338,41.2627,0.804223,5.81626,112.326,8.45588,3.10624,2.72222,1.40274,0.220155,0.080873,0.13928156346082687,0.251392,1.319,0.294407,0.694422,,,4.5835,1.27001,1.17215,291.9800109863281,3.67009,-0.00982021,0.8453,"15890"
"Colin Rea",,6.71884,7.52507,6.79714,4.63193,29.9386,22.9318,0,0.241302,130.466,551.673,128.193,72.9844,67.1457,21.889,40.1421,0.833627,4.98555,112.431,7.75589,2.76914,2.80083,1.50997,0.203801,0.0727643,0.13103647530078888,0.253073,1.29026,0.285591,0.6925,,,4.75027,1.2282,1.12529,518.5599975585938,2.39205,-0.891204,0.96662,"12317"
"Mike Clevinger",,6.74756,7.88374,6.15891,4.66138,22.4083,20.7245,0,0,114.625,488.49,113.15,64.5303,59.3679,18.205,36.5125,0.439481,6.41471,97.4594,7.6522,2.86684,2.66921,1.4294,0.199512,0.0747456,0.12476595491170883,0.253948,1.30567,0.2878,0.685579,,,4.74274,1.22241,0.942899,422.0199890136719,3.86141,-0.308731,0.821517,"12808"
