"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"100","Chad Green","TOR",-4.18818278445473,"15552",33325,NA,NA,NA,"Chad Green",NA
"101","Charlie Blackmon","COL",-2.28297013912401,"7859",31084,"RF",1.01938213796651,-3.30235227709052,"Charlie Blackmon",334
"102","Charlie Morton","ATL",3.95366043759479,"4676",29155,"SP",3.99508454828887,-0.0414241106940842,"Charlie Morton",150
"103","Chas McCormick","HOU",1.01938213796651,"19599",40574,"CF",-0.104121754941005,1.12350389290752,"Chas McCormick",212
"104","Chase Silseth","LAA",-0.882128166231631,"30074",4413990,"RP",-0.777577739227631,-0.104550427004,"Chase Silseth",NA
"105","Chris Bassitt","TOR",8.01027205634596,"12304",33148,"SP",3.99508454828887,4.01518750805709,"Chris Bassitt",86
"106","Chris Flexen","CHW",-5.32480390183808,"13896",36067,NA,NA,NA,"Chris Flexen",NA
"107","Chris Martin","BOS",-2.31238402650524,"11847",32903,"RP",-0.777577739227631,-1.53480628727761,"Chris Martin",NA
"108","Chris Paddack","MIN",-0.302933757618164,"20099",35999,"SP",3.99508454828887,-4.29801830590704,"Chris Paddack",NA
"109","Chris Sale","ATL",3.32218143922683,"10603",30948,"SP",3.99508454828887,-0.672903109062041,"Chris Sale",94
"110","Chris Taylor","LAD",-4.26612369347776,"13757",32900,"LF",1.01938213796651,-5.28550583144427,"Chris Taylor",313
"111","Christian Encarnacion-Strand","CIN",0.528887027162888,"30011",5012106,"1B",4.0712619963038,-3.54237496914092,"Christian Encarnacion-Strand",200
"112","Christian Walker","ARI",7.25828450919855,"13419",32758,"1B",4.0712619963038,3.18702251289475,"Christian Walker",71
"113","Christian Yelich","MIL",4.94185945572127,"11477",31283,"LF",1.01938213796651,3.92247731775476,"Christian Yelich",81
"114","Christopher Morel","CHC",2.75779756273388,"21897",42927,"CF",-0.104121754941005,2.86191931767489,"Christopher Morel",231
"115","Clarke Schmidt","NYY",2.13953866020896,"19899",41085,"SP",3.99508454828887,-1.85554588807991,"Clarke Schmidt",301
"116","Clay Holmes","NYY",-0.777577739227631,"13649",32827,"RP",-0.777577739227631,0,"Clay Holmes",103
"117","Clayton Kershaw","LAD",-4.05973295811658,"2036",28963,"SP",3.99508454828887,-8.05481750640545,"Clayton Kershaw",312
"118","Cody Bellinger","",5.55492698334884,"15998",33912,"CF",-0.104121754941005,5.65904873828984,"Cody Bellinger",70
"119","Cole Irvin","BAL",-4.83246546535075,"19244",39869,NA,NA,NA,"Cole Irvin",NA
"120","Cole Ragans","KCR",5.73172207537261,"21846",41054,"RP",-0.777577739227631,6.50929981460024,"Cole Ragans",87
"121","Colin Holderman","PIT",-4.80326776527283,"22361",NA,NA,NA,NA,"",NA
"122","Colin Poche","TBR",-3.21179127806077,"19403",40364,"RP",-0.777577739227631,-2.43421353883313,"Colin Poche",NA
"123","Colin Rea","",0.488608357453445,"12317",33950,NA,NA,NA,"Colin Rea",NA
"124","Colt Keith","DET",-1.43227081383217,"sa3014474",NA,"2B",1.59559610679458,-3.02786692062675,"Colt Keith",285
"125","Connor Joe","PIT",-7.52240661694281,"16572",35440,NA,NA,NA,"Connor Joe",NA
"126","Connor Wong","BOS",-7.41579026907447,"19896",40086,"C",-0.568436073401782,-6.84735419567268,"Connor Wong",375
"127","Corbin Burnes","BAL",10.8665929484835,"19361",39878,"SP",3.99508454828887,6.87150840019466,"Corbin Burnes",15
"128","Corbin Carroll","ARI",8.41280636310968,"25878",42404,"CF",-0.104121754941005,8.51692811805068,"Corbin Carroll",10
"129","Corey Seager","TEX",8.68239093402997,"13624",32691,"SS",2.70406583783264,5.97832509619733,"Corey Seager",30
"130","Craig Kimbrel","BAL",-1.40544161274234,"6655",30653,"RP",-0.777577739227631,-0.627863873514709,"Craig Kimbrel",140
"131","Cristian Javier","HOU",5.06809703736293,"17606",41261,"SP",3.99508454828887,1.07301248907406,"Cristian Javier",119
"132","Cristopher Sánchez","PHI",2.28106489088143,"20778",NA,"SP",3.99508454828887,-1.71401965740744,"Cristopher Sanchez",309
"133","DJ LeMahieu","NYY",-2.48798849340416,"9874",30765,"3B",3.03297428222753,-5.52096277563168,"DJ LeMahieu",293
"134","DL Hall","MIL",-0.0443435091795927,"22207",41018,"RP",-0.777577739227631,0.733234230048038,"DL Hall",357
"135","Dakota Hudson","COL",-5.22447927199105,"19206",38680,NA,NA,NA,"Dakota Hudson",NA
"136","Dane Dunning","TEX",3.04210313145622,"19409",36080,"RP",-0.777577739227631,3.81968087068385,"Dane Dunning",258
"137","Daniel Lynch IV","KCR",-5.25326137612827,"21537",41227,NA,NA,NA,"Daniel Lynch IV",NA
"138","Danny Coulombe","BAL",-4.19436616724609,"13293",33638,"RP",-0.777577739227631,-3.41678842801846,"Danny Coulombe",NA
"139","Danny Jansen","TOR",-4.69987343674952,"16535",35004,"C",-0.568436073401782,-4.13143736334774,"Danny Jansen",NA
"140","Dansby Swanson","CHC",6.39981620619358,"18314",34895,"SS",2.70406583783264,3.69575036836094,"Dansby Swanson",117
"141","Dany Jiménez","OAK",-5.63139514617892,"21170",42380,"RP",-0.777577739227631,-4.85381740695128,"Dany Jimenez",NA
"142","Daulton Varsho","TOR",1.58283394655545,"19918",40963,"CF",-0.104121754941005,1.68695570149646,"Daulton Varsho",183
"143","Dauri Moreta","PIT",-4.89111067331496,"21101",41874,NA,NA,NA,"Dauri Moreta",NA
"144","David Bednar","PIT",0.216352610095154,"19569",38303,"RP",-0.777577739227631,0.993930349322785,"David Bednar",100
"145","David Peterson","NYM",-4.65368116835879,"20302",40921,NA,NA,NA,"David Peterson",NA
"146","David Robertson","TEX",-3.81251336968249,"8241",29172,"RP",-0.777577739227631,-3.03493563045486,"David Robertson",320
"147","Davis Schneider","TOR",-4.25391600438919,"23565",NA,NA,NA,NA,"Davis Schneider",386
"148","Dean Kremer","BAL",3.76121134669693,"19350",38295,"SP",3.99508454828887,-0.233873201591939,"Dean Kremer",249
"149","Devin Williams","MIL",1.45372409725245,"15816",33224,"RP",-0.777577739227631,2.23130183648008,"Devin Williams",266
"150","Domingo Germán","",-2.93821838795096,"17149",33660,"SP",3.99508454828887,-6.93330293623984,"Domingo German",NA
"151","Dominic Fletcher","CHW",-7.38999005479912,"26149",42984,NA,NA,NA,"Dominic Fletcher",NA
"152","Drew Rasmussen","TBR",-4.49863180445856,"25385",42584,"SP",3.99508454828887,-8.49371635274743,"Drew Rasmussen",NA
"153","Drew Waters","KCR",-8.69630451313973,"20505",41076,NA,NA,NA,"Drew Waters",NA
"154","Dylan Carlson","STL",-6.85414416740744,"20126",39226,"CF",-0.104121754941005,-6.75002241246643,"Dylan Carlson",NA
"155","Dylan Cease","CHW",7.36136565527149,"18525",34943,"SP",3.99508454828887,3.36628110698262,"Dylan Cease",56
"156","Eddie Rosario","",-6.42272091479104,"12155",31944,"LF",1.01938213796651,-7.44210305275756,"Eddie Rosario",NA
"157","Edouard Julien","MIN",0.282007485880506,"27534",3985190,"2B",1.59559610679458,-1.31358862091408,"Edouard Julien",273
"158","Eduardo Rodriguez","ARI",5.79189086982328,"13164",32675,"SP",3.99508454828887,1.7968063215344,"Eduardo Rodriguez",177
"159","Edward Cabrera","MIA",1.6212351835787,"21690",40944,"SP",3.99508454828887,-2.37384936471018,"Edward Cabrera",NA
"160","Edward Olivares","PIT",-8.14357755702949,"19698",36463,NA,NA,NA,"Edward Olivares",NA
"161","Edwin Díaz","NYM",2.65639555356965,"14710",35394,"RP",-0.777577739227631,3.43397329279729,"Edwin Diaz",55
"162","Elehuris Montero","COL",-3.63801951888455,"20543",41222,NA,NA,NA,"Elehuris Montero",NA
"163","Eli Morgan","CLE",-4.774794269562,"20203",41324,NA,NA,NA,"Eli Morgan",NA
"164","Elias Díaz","COL",-3.70359482837978,"11680",33594,"C",-0.568436073401782,-3.135158754978,"Elias Diaz",398
"165","Elly De La Cruz","CIN",2.70406583783264,"26668",4917694,"SS",2.70406583783264,0,"Elly De La Cruz",72
"166","Eloy Jiménez","CHW",2.43397864419664,"17484",33867,"DH",4.96976368634212,-2.53578504214548,"Eloy Jimenez",191
"167","Emilio Pagán","CIN",-4.67265472167172,"14771",33403,NA,NA,NA,"Emilio Pagan",NA
"168","Emmanuel Clase","CLE",1.58063529950975,"21032",41743,"RP",-0.777577739227631,2.35821303873738,"Emmanuel Clase",58
"169","Emmet Sheehan","LAD",-1.58438152992493,"29839",4417806,"SP",3.99508454828887,-5.5794660782138,"Emmet Sheehan",NA
"170","Enrique Hernández","LAD",-8.53016120581404,"10472",31358,"CF",-0.104121754941005,-8.42603945087304,"Kike Hernandez",341
"171","Enyel De Los Santos","SDP",-4.21357389367991,"18403",35026,NA,NA,NA,"Enyel De Los Santos",NA
"172","Erick Fedde","CHW",0.237561502066203,"17425",33793,"SP",3.99508454828887,-3.75752304622267,"Erick Fedde",NA
"173","Erik Swanson","TOR",-1.64162863057114,"16587",36013,"RP",-0.777577739227631,-0.864050891343507,"Erik Swanson",339
"174","Esteury Ruiz","OAK",-4.02310875338525,"21780",39680,"CF",-0.104121754941005,-3.91898699844424,"Esteury Ruiz",202
"175","Eugenio Suárez","ARI",3.03297428222753,"12552",32367,"3B",3.03297428222753,0,"Eugenio Suarez",261
"176","Eury Pérez","MIA",4.02015276380834,"27768",4917854,"SP",3.99508454828887,0.0250682155194646,"Eury Perez",182
"177","Evan Carter","TEX",1.52915904869491,"27790",NA,"LF",1.01938213796651,0.509776910728398,"Evan Carter",96
"178","Evan Phillips","LAD",0.496954890504258,"17734",37911,"RP",-0.777577739227631,1.27453262973189,"Evan Phillips",124
"179","Ezequiel Duran","TEX",-8.36319910520532,"23733",42457,"LF",1.01938213796651,-9.38258124317183,"Ezequiel Duran",351
"180","Ezequiel Tovar","COL",3.59518858209359,"24064",4905919,"SS",2.70406583783264,0.891122744260946,"Ezequiel Tovar",241
"181","Fernando Tatis Jr.","SDP",11.1956116497402,"19709",35983,"RF",1.01938213796651,10.1762295117737,"Fernando Tatis Jr.",16
"182","Framber Valdez","HOU",10.1512161355286,"17295",36581,"SP",3.99508454828887,6.1561315872397,"Framber Valdez",33
"183","Francisco Alvarez","NYM",-0.568436073401782,"26121",41253,"C",-0.568436073401782,0,"Francisco Alvarez",166
"184","Francisco Lindor","NYM",7.83226175771404,"12916",32129,"SS",2.70406583783264,5.1281959198814,"Francisco Lindor",34
"185","Frankie Montas","CIN",0.936180741727812,"14309",33249,"SP",3.99508454828887,-3.05890380656106,"Frankie Montas",316
"186","Freddie Freeman","LAD",13.0496625139606,"5361",30193,"1B",4.0712619963038,8.97840051765681,"Freddie Freeman",5
"187","Freddy Peralta","MIL",8.09625787211662,"18679",39825,"SP",3.99508454828887,4.10117332382775,"Freddy Peralta",42
"188","Gabe Speier","SEA",-3.35566975875416,"17170",NA,NA,NA,NA,"Gabe Speier",NA
"189","Gabriel Moreno","ARI",-2.17024579938808,"22664",42464,"C",-0.568436073401782,-1.6018097259863,"Gabriel Moreno",133
"190","Garrett Cooper","",-6.99731007489352,"15279",33398,NA,NA,NA,"Garrett Cooper",NA
"191","Garrett Crochet","CHW",-4.72444371572878,"27463",4297835,"RP",-0.777577739227631,-3.94686597650115,"Garrett Crochet",329
"192","Garrett Mitchell","MIL",-8.69240757730642,"27555",4313442,"CF",-0.104121754941005,-8.58828582236541,"Garrett Mitchell",NA
"193","Garrett Whitlock","BOS",-1.33248755190579,"20191",39674,"RP",-0.777577739227631,-0.554909812678161,"Garrett Whitlock",276
"194","Gavin Lux","LAD",-3.52380811797025,"19955",40423,"LF",1.01938213796651,-4.54319025593677,"Gavin Lux",246
"195","Gavin Williams","CLE",3.84410711307568,"30122",4345076,"SP",3.99508454828887,-0.150977435213192,"Gavin Williams",234
"196","George Kirby","SEA",9.84384570452645,"25436",42406,"SP",3.99508454828887,5.84876115623758,"George Kirby",36
"197","George Springer","TOR",3.9036879541623,"12856",32078,"RF",1.01938213796651,2.88430581619579,"George Springer",76
"198","Geraldo Perdomo","ARI",-6.02397877299947,"22799",41355,"2B",1.59559610679458,-7.61957487979406,"Geraldo Perdomo",481
"199","Gerrit Cole","NYY",1.10301377249142,"13125",32081,"SP",3.99508454828887,-2.89207077579745,"Gerrit Cole",90
