"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"147","Ty France","SEA",2.14246592878961,"17982",35591,"1B",4.0712619963038,-1.92879606751419,"Ty France",252
"148","Jeremy Peña","HOU",2.12157748288154,"21636",41273,"SS",2.70406583783264,-0.582488354951102,"Jeremy Pena",233
"149","J.P. Crawford","SEA",2.03649285769038,"15491",33210,"SS",2.70406583783264,-0.667572980142258,"J.P. Crawford",146
"150","Lourdes Gurriel Jr.","ARI",2.0203063056619,"19238",36040,"LF",1.01938213796651,1.00092416769539,"Lourdes Gurriel Jr.",148
"151","Lourdes Gurriel Jr.","ARI",2.0203063056619,"19238",36040,"DH",4.96976368634212,-2.94945738068022,"Lourdes Gurriel Jr.",148
"152","Zack Gelof","OAK",1.99874380383403,"29766",4414531,"2B",1.59559610679458,0.403147697039448,"Zack Gelof",194
"153","Ryan Mountcastle","BAL",1.95325998548123,"18373",34940,"1B",4.0712619963038,-2.11800201082258,"Ryan Mountcastle",311
"154","Ryan Mountcastle","BAL",1.95325998548123,"18373",34940,"DH",4.96976368634212,-3.0165037008609,"Ryan Mountcastle",311
"155","Jung Hoo Lee","SFG",1.92633947724798,"sa3012640",NA,"CF",-0.104121754941005,2.03046123218898,"Jung Hoo Lee",171
"156","Cedric Mullins","BAL",1.7207043609836,"17929",35578,"CF",-0.104121754941005,1.8248261159246,"Cedric Mullins II",143
"157","J.T. Realmuto","PHI",1.70020368866141,"11739",32177,"C",-0.568436073401782,2.26863976206319,"J.T. Realmuto",79
"158","Josh Lowe","TBR",1.6525575023888,"19953",40557,"RF",1.01938213796651,0.633175364422289,"Josh Lowe",167
"159","Josh Lowe","TBR",1.6525575023888,"19953",40557,"DH",4.96976368634212,-3.31720618395332,"Josh Lowe",167
"160","Bryson Stott","PHI",1.59559610679458,"26294",42417,"2B",1.59559610679458,0,"Bryson Stott",121
"161","Daulton Varsho","TOR",1.58283394655545,"19918",40963,"LF",1.01938213796651,0.56345180858894,"Daulton Varsho",183
"162","Daulton Varsho","TOR",1.58283394655545,"19918",40963,"CF",-0.104121754941005,1.68695570149646,"Daulton Varsho",183
"163","MJ Melendez","KCR",1.54198381341367,"22197",40948,"LF",1.01938213796651,0.522601675447154,"MJ Melendez",289
"164","MJ Melendez","KCR",1.54198381341367,"22197",40948,"RF",1.01938213796651,0.522601675447154,"MJ Melendez",289
"165","Evan Carter","TEX",1.52915904869491,"27790",NA,"LF",1.01938213796651,0.509776910728398,"Evan Carter",96
"166","Jordan Walker","STL",1.50819201087134,"27475",4684778,"RF",1.01938213796651,0.488809872904824,"Jordan Walker",188
"167","Anthony Volpe","NYY",1.41139620712807,"27647",42547,"SS",2.70406583783264,-1.29266963070457,"Anthony Volpe",185
"168","Jake Cronenworth","SDP",1.37436819096089,"18036",36364,"1B",4.0712619963038,-2.69689380534292,"Jake Cronenworth",165
"169","Jake Cronenworth","SDP",1.37436819096089,"18036",36364,"2B",1.59559610679458,-0.221227915833695,"Jake Cronenworth",165
"170","Austin Hays","BAL",1.31226850632277,"19363",36928,"LF",1.01938213796651,0.292886368356258,"Austin Hays",272
