"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"222","Lars Nootbaar","STL",-0.19912182846784,"21454",4448736,"CF",0.414351510471444,-0.613473338939284,"Lars Nootbaar",297
"223","Lars Nootbaar","STL",-0.19912182846784,"21454",4448736,"RF",1.7782557432166,-1.97737757168444,"Lars Nootbaar",297
"224","Alec Burleson","STL",-0.21205834088191,"27615",4345070,"LF",1.90197291160567,-2.11403125248758,"Alec Burleson",NA
"225","Alec Burleson","STL",-0.21205834088191,"27615",4345070,"RF",1.7782557432166,-1.99031408409851,"Alec Burleson",NA
"226","Alec Burleson","STL",-0.21205834088191,"27615",4345070,"DH",7.2427022094734,-7.45476055035531,"Alec Burleson",NA
"227","Jordan Walker","STL",-0.267470708471109,"27475",4684778,"RF",1.7782557432166,-2.04572645168771,"Jordan Walker",188
"228","Josh Lowe","TBR",-0.278389171409861,"19953",40557,"RF",1.7782557432166,-2.05664491462646,"Josh Lowe",167
"229","Jeimer Candelario","CIN",-0.311607720154426,"13621",32531,"1B",4.12223334524929,-4.43384106540372,"Jeimer Candelario",220
"230","Jeimer Candelario","CIN",-0.311607720154426,"13621",32531,"3B",3.76118164652273,-4.07278936667716,"Jeimer Candelario",220
"231","Jeimer Candelario","CIN",-0.311607720154426,"13621",32531,"DH",7.2427022094734,-7.55430992962783,"Jeimer Candelario",220
"232","Willi Castro","MIN",-0.312326177252698,"17338",34230,"2B",1.32544732467959,-1.63777350193228,"Willi Castro",410
"233","Willi Castro","MIN",-0.312326177252698,"17338",34230,"3B",3.76118164652273,-4.07350782377543,"Willi Castro",410
"234","Willi Castro","MIN",-0.312326177252698,"17338",34230,"SS",3.15844985743133,-3.47077603468402,"Willi Castro",410
"235","Willi Castro","MIN",-0.312326177252698,"17338",34230,"LF",1.90197291160567,-2.21429908885837,"Willi Castro",410
"236","Willi Castro","MIN",-0.312326177252698,"17338",34230,"CF",0.414351510471444,-0.726677687724142,"Willi Castro",410
"237","Xavier Edwards","MIA",-0.379866389562756,"22266",41326,"SS",3.15844985743133,-3.53831624699408,"Xavier Edwards",NA
"238","Cedric Mullins","BAL",-0.39855290190651,"17929",35578,"CF",0.414351510471444,-0.812904412377954,"Cedric Mullins II",143
"239","Francisco Alvarez","NYM",-0.547577297398599,"26121",41253,"C",-0.547577297398599,0,"Francisco Alvarez",166
"240","Trevor Larnach","MIN",-0.555349912966594,"21501",41205,"LF",1.90197291160567,-2.45732282457226,"Trevor Larnach",NA
"241","Trevor Larnach","MIN",-0.555349912966594,"21501",41205,"DH",7.2427022094734,-7.79805212244,"Trevor Larnach",NA
"242","Joc Pederson","TEX",-0.635781927207279,"11899",31392,"DH",7.2427022094734,-7.87848413668068,"Joc Pederson",344
"243","TJ Friedl","CIN",-0.686366127675007,"19522",36020,"CF",0.414351510471444,-1.10071763814645,"TJ Friedl",226
"244","Nico Hoerner","CHC",-0.770178009642569,"21479",41219,"2B",1.32544732467959,-2.09562533432216,"Nico Hoerner",61
"245","Michael Conforto","LAD",-0.938515984528309,"16376",33711,"LF",1.90197291160567,-2.84048889613398,"Michael Conforto",NA
"246","Michael Conforto","LAD",-0.938515984528309,"16376",33711,"DH",7.2427022094734,-8.18121819400171,"Michael Conforto",NA
"247","Nolan Jones","COL",-0.942103613367847,"20529",37340,"LF",1.90197291160567,-2.84407652497351,"Nolan Jones",102
"248","Tyler Stephenson","CIN",-0.955200952513105,"17988",34975,"C",-0.547577297398599,-0.407623655114506,"Tyler Stephenson",335
"249","J.P. Crawford","SEA",-1.01324326126185,"15491",33210,"SS",3.15844985743133,-4.17169311869317,"J.P. Crawford",146
"250","Wilyer Abreu","BOS",-1.03980263598775,"23772",4990055,"RF",1.7782557432166,-2.81805837920435,"Wilyer Abreu",NA
"251","Brandon Marsh","PHI",-1.09528129825227,"20202",40803,"LF",1.90197291160567,-2.99725420985794,"Brandon Marsh",330
"252","Brandon Marsh","PHI",-1.09528129825227,"20202",40803,"CF",0.414351510471444,-1.50963280872372,"Brandon Marsh",330
"253","Jake McCarthy","ARI",-1.10075475305738,"21622",41197,"LF",1.90197291160567,-3.00272766466305,"Jake McCarthy",NA
"254","Jake McCarthy","ARI",-1.10075475305738,"21622",41197,"CF",0.414351510471444,-1.51510626352882,"Jake McCarthy",NA
"255","Jake McCarthy","ARI",-1.10075475305738,"21622",41197,"RF",1.7782557432166,-2.87901049627398,"Jake McCarthy",NA
"256","Brice Turang","MIL",-1.10455608508442,"22186",41179,"2B",1.32544732467959,-2.430003409764,"Brice Turang",NA
"257","J.T. Realmuto","PHI",-1.50033758703219,"11739",32177,"C",-0.547577297398599,-0.952760289633588,"J.T. Realmuto",79
"258","Maikel Garcia","KCR",-1.58532275201998,"22715",4905884,"2B",1.32544732467959,-2.91077007669956,"Maikel Garcia",306
