"","Name","Team","PlayerId","IP","SO","QS","wERA","wWHIP","ERA","WHIP","SVHD","pr","rank","pos"
"31","Joe Ryan","MIN","21390",1.19368771777672,1.61264466023705,1.25129924914688,1.00162341554355,0.741466212751914,0.122695171096264,1.74640782071637,-0.753627412948396,6.91619683432035,27,"SP"
"25","Justin Steele","CHC","17312",1.34910251349885,1.29595862763023,1.46369816062415,0.818914134814952,1.15935267485814,0.863509115062938,0.717084676038535,-0.753627412948396,6.9139924895794,28,"SP"
"29","Max Fried","NYY","13743",1.32956310986519,1.18275796638849,1.50378032520171,0.754222801670948,1.14619530899675,0.976476317261727,0.697046737713646,-0.753627412948396,6.83641515415007,29,"SP"
"22","José Berríos","TOR","14168",1.74164643119911,1.21537354776961,1.60738204103733,1.87483334249161,1.75791775508029,-0.67381830379049,-0.027453468088955,-0.753627412948396,6.74225393275011,30,"SP"
"30","Zac Gallen","ARI","19291",1.42831813721643,1.50346635751659,1.44376291218327,1.17431211410998,1.33895259487686,0.207374750462149,0.343976025553355,-0.753627412948396,6.68653547897024,31,"SP"
"32","Yusei Kikuchi","LAA","20633",1.41148003362429,1.92625071546186,1.14105886467023,1.2990395679534,1.34119349209619,-0.108717541826909,0.276585864259604,-0.753627412948396,6.53326358329027,32,"SP"
"34","Spencer Schwellenbach","ATL","31846",1.27153018063986,1.24120858192915,1.27900847477899,0.952076053254146,0.974157626955074,0.402944255188121,1.13273196654302,-0.753627412948396,6.50002972633997,33,"SP"
"35","Zach Eflin","BAL","13774",1.42158739794631,0.876644990466182,1.41337897657694,1.22595625811318,1.15943843498365,0.0773209279920816,0.964480450887693,-0.753627412948396,6.38518002401764,34,"SP"
"33","Hunter Brown","HOU","25880",1.3529743768917,1.66617650592882,1.48548069077384,1.08243292543159,1.39759537325525,0.265049730924916,-0.139845032771559,-0.753627412948396,6.35623715748616,35,"SP"
"40","Yoshinobu Yamamoto","LAD","33825",1.0121153333192,1.2762145935172,1.13139912073459,0.520213519983215,0.655729635134349,0.927721407929854,1.45065232879262,-0.753627412948396,6.22041852646264,36,"SP"
"38","Sean Manaea","NYM","15873",1.40029214928566,1.49804191973932,1.22484078717177,1.43586587264206,1.33415333262648,-0.442751803673768,0.262257059200465,-0.747502705611495,5.9651966113805,37,"SP"
"39","Cristopher Sánchez","PHI","20778",1.33291722408341,0.867634907378515,1.428388140461,0.92965589614767,1.272344080732,0.577292951424615,0.245465490771791,-0.753627412948396,5.9000712780506,38,"SP"
"36","Mitch Keller","PIT","17594",1.61022818417914,1.35050180917878,1.36436828374014,1.7694667235848,1.75625415341757,-0.726422284911722,-0.474109188291734,-0.753627412948396,5.89666026794858,39,"SP"
"37","Chris Bassitt","TOR","12304",1.53709048555498,1.29110881249885,1.39769632456988,1.56513395901718,1.68084483709849,-0.437884458924262,-0.476012232713651,-0.753627412948396,5.80435031415308,40,"SP"
"41","Carlos Rodón","NYY","16137",1.19661412615503,1.70373384206466,1.230882937761,1.25635989221279,1.065713419918,-0.481751658047426,0.520511381633502,-0.753627412948396,5.73843652874916,41,"SP"
"42","Tanner Houck","BOS","19879",1.41526185368242,1.02034662175213,1.17159674041896,1.23893414584617,1.41577120614408,0.035082965605154,0.0219137430913524,-0.72155857189472,5.59734870464554,42,"SP"
"45","Reynaldo López","ATL","16400",1.07825216266908,1.36987808479843,1.07155489037635,0.676903411873056,0.963329081814491,0.671096256513424,0.473159158664636,-0.745036400147312,5.55913664656216,43,"SP"
"43","Jack Flaherty","DET","17479",1.15667990720789,1.52918646714695,1.18622105394702,0.967400199860066,1.09997410487013,0.125261218955837,0.239756357506041,-0.753627412948396,5.55085189654553,44,"SP"
"44","Taj Bradley","TBR","22543",1.18051888007431,1.5377368521179,1.0844473773024,1.053585671281,1.0930280113216,-0.0308603912940134,0.356401786190575,-0.753627412948396,5.52123077404537,45,"SP"
"46","Grayson Rodriguez","BAL","24492",1.09297424789537,1.44184382497059,1.16170608626972,0.819882539096375,1.00300535705441,0.348487017279421,0.373529185987825,-0.753627412948396,5.48780084560531,46,"SP"
"48","Nathan Eovaldi","TEX","9132",1.14537946870086,1.06797134664409,1.28855276360783,1.00382988947156,0.973071509745495,0.0120496312466126,0.68719568423549,-0.753627412948396,5.42442288070355,47,"SP"
"49","Jared Jones","PIT","27863",1.19812235201155,1.39327671893936,1.12812789270858,1.09982267337727,1.14251830373049,-0.103117040546096,0.233487505292668,-0.724412248727068,5.36782615678675,48,"SP"
"47","MacKenzie Gore","WSN","22201",1.29397348181816,1.63080273584739,1.07074670462875,1.16462393278865,1.43068020511056,-0.0480488388613066,-0.484743848296562,-0.753627412948396,5.30440696008724,49,"SP"
"51","Hunter Greene","CIN","22182",0.975467696089238,1.64181250574278,1.02485329967556,0.863215668920971,0.792161604402273,-0.0232233440929051,0.76320551732263,-0.753627412948396,5.28386553511215,50,"SP"
"53","Tyler Glasnow","LAD","14374",0.557261427994541,1.3266204920153,1.07505702861596,0.160452601910815,0.16994856350174,0.911001365924228,1.80573802916435,-0.753627412948396,5.25245209617854,51,"SP"
"50","Erick Fedde","STL","17425",1.4443683616298,1.00786581788325,1.03982397852402,1.457341384368,1.53737177135376,-0.395870516588567,-0.307760717058317,-0.753627412948396,5.02951266716355,52,"SP"
"54","Sandy Alcantara","MIA","18684",1.11240109736064,0.701591947620084,1.13576717227521,0.840969267106258,1.02009552455377,0.338222825841132,0.380917476096443,-0.753627412948396,4.77633789790514,53,"SP"
"55","Ryan Pepiot","TBR","26221",0.966733492621656,1.21047776282657,0.980441568592979,0.829337281621285,0.808633942537819,0.0430865910719151,0.662456106750576,-0.753627412948396,4.7475393330744,54,"SP"
"52","Brady Singer","CIN","25377",1.41402375783005,1.21109835528414,1.1319763962686,1.69765499074615,1.59576838124961,-1.00504213226734,-0.629711055730797,-0.753627412948396,4.66214128043201,55,"SP"
"57","Brandon Pfaadt","ARI","27782",1.10227122220494,1.1921128230637,0.836546020483994,1.086889584865,1.00571026240937,-0.288850028477041,0.398492651051789,-0.722495602180072,4.61067693342168,56,"SP"
"56","Michael Wacha","KCR","14078",1.21709898480323,0.804081642742294,1.08177266732819,1.17803225199237,1.21667199754624,-0.247854359101494,0.0234809561446958,-0.753627412948396,4.51965672850712,57,"SP"
"63","Nick Pivetta","SDP","15454",0.852806163370539,1.37316492633296,0.851401244225654,0.822680701537618,0.655893232852748,-0.212459191006758,0.846827528097437,-0.732372065920212,4.45794253948999,58,"SP"
"59","Ranger Suárez","PHI","17277",1.10866429896987,0.820263016450756,1.01473173531272,0.825968481004689,1.14980999335438,0.367080681531719,-0.139956976561085,-0.726773170094078,4.41978805996897,59,"SP"
"66","Shane McClanahan","TBR","21483",0.592423350201664,0.911398168090039,0.999838026535458,0.187146938338129,0.370706582791632,0.915685421540908,1.02817646712714,-0.727629423980683,4.27774553064428,60,"SP"
